"from","to","delta","A_dm","replicate","scenario"
"Pop15","Pop21",0.00525150501459394,0.019777624013867,1,"Isotropic"
"Pop16","Pop17",-0.0290220613511039,-0.0209841530656965,1,"Isotropic"
"Pop16","Pop18",0.0589082068396308,0.190485008029599,1,"Isotropic"
"Pop17","Pop18",0.0872922689742512,0.05018341033708,1,"Isotropic"
"Pop17","Pop21",0.0493403664817274,0.0102588432496869,1,"Isotropic"
"Pop17","Pop22",0.0514332711226726,0.0126748072340626,1,"Isotropic"
"Pop17","Pop25",-0.0347297821687345,-0.000378912474493358,1,"Isotropic"
"Pop18","Pop19",-0.0173552269247874,0.0325268027880092,1,"Isotropic"
"Pop18","Pop21",0.000474967538511853,-0.0133615658600766,1,"Isotropic"
"Pop18","Pop22",-0.00921419484855986,-0.028672300154769,1,"Isotropic"
"Pop18","Pop23",0.00736211677450144,-0.00470380701306866,1,"Isotropic"
"Pop18","Pop24",-0.0265407043765907,-0.011996023214458,1,"Isotropic"
"Pop18","Pop25",-0.0612728521508543,-0.0364202492346911,1,"Isotropic"
"Pop19","Pop20",-0.0777627163269624,-0.0921106117060171,1,"Isotropic"
"Pop19","Pop21",0.0170902028222457,-0.117017316401145,1,"Isotropic"
"Pop19","Pop23",-0.0051594066107033,-0.0235375310116569,1,"Isotropic"
"Pop20","Pop21",0.110812292727948,-0.0655319391200332,1,"Isotropic"
"Pop20","Pop22",0.0315933104975825,-0.0847094172764945,1,"Isotropic"
"Pop20","Pop23",-0.00212540276995452,0.00186917594482758,1,"Isotropic"
"Pop21","Pop22",-0.0763738731135792,0.0374924174592157,1,"Isotropic"
"Pop21","Pop24",-0.0558365587283871,-0.00239425471724931,1,"Isotropic"
"Pop21","Pop25",-0.0618385450783283,-0.0194043967468011,1,"Isotropic"
"Pop22","Pop23",0.00377947655496991,0.0286600123582556,1,"Isotropic"
"Pop22","Pop24",-0.0260274796003975,0.0105607777199714,1,"Isotropic"
"Pop23","Pop24",-0.00507162750217494,-0.494249317254237,1,"Isotropic"
"Pop23","Pop25",0.0143832206286273,-0.102283870539772,1,"Isotropic"
"Pop24","Pop25",0.0399680788647438,-0.0426798350403507,1,"Isotropic"
"Pop01","Pop15",0.156383778828301,NA,1,"Flux-conserved"
"Pop01","Pop20",0.0560405115922844,NA,1,"Flux-conserved"
"Pop01","Pop21",0.102855004725335,-31416245969.2402,1,"Flux-conserved"
"Pop01","Pop22",0.101506091097141,-7834377127.66767,1,"Flux-conserved"
"Pop01","Pop23",0.152709346895939,-31416245969.2402,1,"Flux-conserved"
