"cond","alpha","n_snapshots","mean_cGD","median_cGD","fpr_mean","fpr_se","fpr_int_mean","fpr_int_se","fpr_bw_mean","fpr_bw_se","scenario"
1,0.01,20,3.88087420697365,3.59883537692296,0.0358888997653406,0.00565453209232163,0.0358888997653406,0.00565453209232163,0.00134304775280899,0.000937959383165596,"Isotropic"
4,0.01,20,5.31090264821629,4.98168504402782,0.0193098442970135,0.00423540458954657,0.0193098442970135,0.00423540458954657,0.00103383458646617,0.000720551378446115,"sym-mid"
5,0.01,20,6.64014948045757,6.05360358063439,0.0327159093904426,0.0065473754813799,0.0327159093904426,0.0065473754813799,0.00200752843819608,0.00113478121637744,"sym-low"
6,0.01,20,8.18093992195429,7.64597219984747,0.0249665606534614,0.00619574070810059,0.0249665606534614,0.00619574070810059,0.00336893439879631,0.001369742571607,"sym-verylow"
1,0.05,20,3.88087420697365,3.59883537692296,0.0882039724883499,0.011714964393847,0.0882039724883499,0.011714964393847,0.0177545798988064,0.00279340914983583,"Isotropic"
4,0.05,20,5.31090264821629,4.98168504402782,0.0661714685307934,0.0081877035958834,0.0661714685307934,0.0081877035958834,0.0128280882538051,0.00311929396454988,"sym-mid"
5,0.05,20,6.64014948045757,6.05360358063439,0.0886209303000058,0.0108019271429161,0.0886209303000058,0.0108019271429161,0.0211004741089009,0.00259836219630122,"sym-low"
6,0.05,20,8.18093992195429,7.64597219984747,0.0613753576230971,0.0118505140054339,0.0613753576230971,0.0118505140054339,0.0159204610898652,0.00288573617339879,"sym-verylow"
1,0.1,20,3.88087420697365,3.59883537692296,0.132361923079667,0.014156530657603,0.132361923079667,0.014156530657603,0.0502740031766429,0.00513118810771319,"Isotropic"
4,0.1,20,5.31090264821629,4.98168504402782,0.107693171523243,0.0107306486203484,0.107693171523243,0.0107306486203484,0.0459435894070321,0.006893883508869,"sym-mid"
5,0.1,20,6.64014948045757,6.05360358063439,0.135156145283579,0.0143506189171769,0.135156145283579,0.0143506189171769,0.0581895663793146,0.00552912019782005,"sym-low"
6,0.1,20,8.18093992195429,7.64597219984747,0.100143473198144,0.0138346094997606,0.100143473198144,0.0138346094997606,0.0448696129507753,0.00550460627139763,"sym-verylow"
