"replicate","generation","k","subset","n_poly_global","n_poly_pop","He","sumAe_total","sumAe_within","ok","n_edges","mean_delta","mean_abs_delta"
6,2504,10,1,10,7.36,0.2319074,15.5205860237312,13.9295525854133,1,119,-0.0180476117954723,0.0300977453007574
6,2504,10,2,10,7.16,0.2266208,16.1298578430505,13.8235877062103,1,95,-0.0148513987560941,0.0329336408139723
6,2504,10,3,10,6.68,0.2001442,15.1090867599241,13.4103057488335,1,100,-0.0192437304004946,0.0312296372927193
6,2504,12,1,12,8.08,0.219923833333333,18.8091009927702,16.5593984876141,1,90,-0.0170843214513265,0.0400318418544843
6,2504,12,2,12,8.28,0.227050666666667,18.8076636469832,16.7097928051184,1,96,-0.023181153924821,0.0339685397361328
6,2504,12,3,12,8.64,0.218248666666667,18.7683550234797,16.3895918816047,1,104,-0.00948008182719605,0.0292792190287572
7,2504,2,1,2,1.56,0.224152,3.26527550466467,2.73496998172814,1,51,0.00687617711533634,0.114464532834383
7,2504,2,2,2,1.48,0.227832,2.98887188235421,2.76003778462137,1,53,-0.0103200515784707,0.0803892122295963
7,2504,2,3,2,1.72,0.305147,3.18374037404154,3.06074720199575,1,59,-0.0128221609603215,0.0665969946399106
7,2504,3,1,3,1.48,0.162701333333333,4.78782169078858,3.84296951159014,1,53,0.0149209750386759,0.0839367038714203
7,2504,3,2,3,1.52,0.151514666666667,4.29635917861882,3.76301869066553,1,45,0.0224816657330482,0.0966449276423816
7,2504,3,3,3,2.2,0.262884666666667,5.00041057821406,4.35961601459279,1,63,-0.00731713742516601,0.0764275859941476
7,2504,4,1,4,2.28,0.1775375,6.55843688352714,5.20773885165364,1,63,0.0329822484384232,0.103089566595703
7,2504,4,2,4,3.56,0.2737865,7.05504085679291,5.80143279284887,1,93,-0.00405421766035424,0.0335382551457394
7,2504,4,3,4,2.44,0.2015905,5.7064268458848,5.38953258471315,1,88,-0.00126569430573763,0.0486086100719626
7,2504,5,1,5,3.72,0.2738128,7.92034597810821,7.40705745028245,1,111,-0.0045689551161724,0.0314605295189264
7,2504,5,2,5,3.36,0.2466248,7.83684467399545,7.17896297959999,1,97,-0.00555079087306368,0.0345295979933417
7,2504,5,3,5,3.44,0.2463756,7.61409567457614,7.16560797652337,1,114,-0.00683506765852113,0.0290707357231732
7,2504,6,1,6,3.92,0.235703,9.61697737967848,8.50521204151081,1,102,-0.00990160264004802,0.0322620651194339
7,2504,6,2,6,3.84,0.220592666666667,9.52511489811899,8.29407606930804,1,89,-0.00954311501506487,0.0370426473290638
7,2504,6,3,6,3.2,0.181887666666667,9.18240053841594,7.89698592567638,1,73,-0.000433293949973563,0.0545776250907537
7,2504,8,1,8,5.84,0.24528875,12.3604887143131,11.3905848841917,1,122,0.0064381288841808,0.028064983794323
7,2504,8,2,8,5.44,0.22883675,12.8285018027779,11.1519623255018,1,109,0.00415408525060104,0.0290883287756289
7,2504,8,3,8,5.04,0.21706275,12.379882653806,11.0010521700368,1,113,-0.00416435241568975,0.0253227534004689
7,2504,10,1,10,6.6,0.213155,16.6308326318862,13.6398657006543,1,97,0.00410352916015958,0.0300240073704567
7,2504,10,2,10,6.36,0.1993926,14.968935350836,13.3712525585091,1,109,0.00626359244517221,0.0267238619031982
7,2504,10,3,10,6.2,0.2022842,16.3778886531334,13.4666237666127,1,89,-0.00932495627894595,0.0399313287031009
7,2504,12,1,12,8.4,0.2314735,20.4092628488014,16.7724404799042,1,92,-0.000272979843710385,0.0356532455762956
7,2504,12,2,12,7.36,0.195691833333333,18.4799551545209,16.0090436660598,1,95,0.00258512544824514,0.026852777100563
7,2504,12,3,12,7.36,0.197057,19.2077459646526,16.0425783628956,1,104,0.00417710922728052,0.0254121877613082
8,2504,2,1,2,1.48,0.21848,3.46339802464339,2.74772065826786,1,55,-0.0322697576241273,0.126909054999027
8,2504,2,2,2,1.4,0.232629,3.38756824174283,2.80137434611702,1,38,-0.03359679364651,0.128748009768013
8,2504,2,3,2,1.72,0.216931,3.14262144285494,2.711504206816,1,48,-0.0132579058267587,0.085270483375536
8,2504,3,1,3,2.44,0.24026,5.70465232433107,4.20880924215333,1,83,-0.00376817196326648,0.0415071955031643
8,2504,3,2,3,2,0.208127333333333,4.44170966962286,4.05966634109951,1,73,-0.000973377804697128,0.0629968945587463
8,2504,3,3,3,1.96,0.185809333333333,4.5705466920698,3.9269466456523,1,73,-0.00858031700904541,0.0513116679507216
8,2504,4,1,4,2.44,0.1872375,6.24158755802177,5.25342654587854,1,85,0.00197988682396803,0.0431004768235594
8,2504,4,2,4,3.36,0.2709915,7.36594455780903,5.86119556742459,1,84,-0.00978885583467696,0.0397332566246528
8,2504,4,3,4,3.24,0.2751355,7.52559590890417,5.92473342207108,1,70,-0.0289188023519516,0.0643497540755237
8,2504,5,1,5,3.28,0.1688984,7.23441789910067,6.36910663287459,1,87,0.00921366511342381,0.0414559698466013
8,2504,5,2,5,3.56,0.2107768,8.58369896684075,6.78925926347122,1,92,-0.00400714046149716,0.0408425780506525
8,2504,5,3,5,3.4,0.2247944,8.04538754153632,6.93728114352154,1,78,0.0198462268064646,0.0487169385590534
8,2504,6,1,6,3.8,0.193485666666667,8.85905061193565,7.96487284358933,1,74,0.00321474027991739,0.0469562411295781
8,2504,6,2,6,3.52,0.175381,9.08080567244505,7.79846933682599,1,71,-0.0256715551904208,0.0780664497120869
8,2504,6,3,6,3.88,0.194087,9.61704719799145,7.99006434067138,1,76,0.0201390823046525,0.0481655980407227
8,2504,8,1,8,4.84,0.17159675,11.814552845748,10.2702216724511,1,87,0.00892830103466937,0.0446528436010427
8,2504,8,2,8,5.68,0.22893075,13.4918738048438,11.1328685707819,1,96,0.00926336606209777,0.0364173008788778
8,2504,8,3,8,5.32,0.196712,12.4142836976605,10.6484804338311,1,109,0.000577348854905978,0.0278995509836082
8,2504,10,1,10,7.72,0.245741,17.095500578357,14.1840191363799,1,105,0.0074815642269112,0.0291959490751568
8,2504,10,2,10,6.6,0.2064136,16.1260178984402,13.5360056170568,1,98,0.0139845122300542,0.0318761686226906
8,2504,10,3,10,6.92,0.2134288,16.4541525240479,13.6212482983049,1,95,0.00790726914617111,0.0280176928931896
8,2504,12,1,12,8.4,0.215415166666667,19.2517381042818,16.3886212848878,1,119,0.00813592711477308,0.025602019801586
8,2504,12,2,12,8.04,0.204814666666667,19.0590478341749,16.1506623713567,1,118,0.0117074556489764,0.0266965882595337
8,2504,12,3,12,7.84,0.1997245,18.4660006335079,16.085358247274,1,93,0.00247669341427128,0.0362725306123231
9,2504,2,1,2,1.52,0.2299,3.76547079575445,2.7592157020199,1,49,0.011852999779729,0.077402000130186
9,2504,2,2,2,1.52,0.23531,3.13809203192936,2.78013868320615,1,48,0.00217114542807952,0.112786157054704
9,2504,2,3,2,1.8,0.285019,3.45006276671545,2.96023441393349,1,64,0.0111232440046842,0.0568410188215712
9,2504,3,1,3,1.6,0.142100666666667,4.80663155099793,3.70669038474132,1,48,-0.0423884419518168,0.112589548816099
9,2504,3,2,3,2.88,0.328379333333333,5.53444693818934,4.67645331371914,1,85,-0.00150115270822767,0.0500859158654672
9,2504,3,3,3,2.64,0.284838,5.03716896790822,4.44704122017822,1,69,0.00267569797623753,0.0599590763705313
9,2504,4,1,4,3.4,0.2758735,7.25296100280003,5.8911004912057,1,81,-0.00179026617075194,0.0369580622213199
9,2504,4,2,4,3.16,0.2429615,6.81662395606136,5.63664179101558,1,82,0.0144720130346323,0.0419169061032897
9,2504,4,3,4,2.32,0.147635,5.9881769357213,4.95306139115758,1,61,-0.0148422539006041,0.0557670325196709
9,2504,5,1,5,3.8,0.2236956,7.7970366773444,6.90255091224463,1,100,0.000886476003335631,0.0376936352965042
9,2504,5,2,5,4.16,0.2607756,9.11012694072949,7.17177956013427,1,86,-0.00580971662122686,0.0416221165134247
9,2504,5,3,5,3.92,0.2553636,8.40514305739642,7.1841209526705,1,104,0.00304286710176549,0.0357710170268341
9,2504,6,1,6,5.12,0.259707,9.86148946719463,8.5860867492805,1,100,-0.00169127469599997,0.0344288575070509
9,2504,6,2,6,4.36,0.219858333333333,9.39909666381267,8.1994497588506,1,101,7.5162495874431e-05,0.0371372978930903
9,2504,6,3,6,5.2,0.282901333333333,10.3258013427427,8.89728329804021,1,115,-0.00541464988436658,0.0338098849244022
9,2504,8,1,8,6.56,0.25137825,13.9554060707357,11.3548298160119,1,104,-0.00687010164097627,0.0278940029512077
9,2504,8,2,8,5.72,0.216313,12.7393491223626,10.8763000123955,1,93,-0.00258175393705815,0.0386627922683306
9,2504,8,3,8,6.68,0.256732,13.6363848064643,11.4157702408508,1,121,0.000850554576130509,0.0216677466290057
9,2504,10,1,10,8.24,0.2556334,17.6347144578505,14.3394507633709,1,109,0.00517068561148944,0.0307138335370933
9,2504,10,2,10,8.12,0.2583568,17.7126419077475,14.3739013056258,1,89,0.00379542841008361,0.0322607680350696
9,2504,10,3,10,6.96,0.2102272,16.7630616563777,13.4961792445264,1,87,-0.00907408216770097,0.0348859775793892
9,2504,12,1,12,9.56,0.2550015,21.1043874368837,17.1427093693904,1,108,-0.00655975716808948,0.02624903121968
9,2504,12,2,12,9.44,0.240788666666667,19.5956186770977,16.8089554300613,1,97,-0.00739597210752334,0.0229450823228836
9,2504,12,3,12,9.36,0.238809333333333,20.5467410217667,16.8005824046785,1,90,-0.00323559625004201,0.0346521693239733
10,2504,2,1,2,1.52,0.278468,3.30795273706251,2.96751016074125,1,60,0.00417373267835035,0.0763971436311261
10,2504,2,2,2,1.72,0.230029,3.218235833096,2.74212905825987,1,58,-0.0134277967679257,0.07742528271128
10,2504,2,3,2,1.88,0.226721,3.47147071719228,2.70677050868909,1,63,0.0117260664650776,0.0780403635305445
10,2504,3,1,3,2.52,0.306808,5.64812300624338,4.59828422273732,1,73,-0.00775558195551638,0.0507877508384474
10,2504,3,2,3,2.68,0.297772,5.78183719547919,4.51094562488835,1,66,-0.0133742768790476,0.0544571608601697
10,2504,3,3,3,2.64,0.265870666666667,5.36413649830939,4.33266361847599,1,73,-0.00845695036038582,0.0413577425521029
10,2504,4,1,4,3.36,0.3200715,7.73133281552913,6.25484120938107,1,93,-0.00754830263165049,0.0371454232452371
10,2504,4,2,4,2.84,0.224908,6.95176601839783,5.5184138159969,1,71,-0.0160432821938815,0.049032248018131
10,2504,4,3,4,3.24,0.270592,7.26871789080269,5.85349907578417,1,91,-0.0205430902436925,0.0408870671682364
10,2504,5,1,5,4.4,0.2971812,9.37197335783315,7.55162498371925,1,98,-0.00392396163695329,0.029177784859155
10,2504,5,2,5,3.96,0.2137032,8.0443163910549,6.73994199366371,1,75,-0.0122103860815889,0.0628756461140627
10,2504,5,3,5,4.12,0.2197692,8.65672152514744,6.83500966887848,1,71,-0.0166899493805855,0.0688666869517526
10,2504,6,1,6,4.72,0.276705,11.1432536435503,8.87480479223406,1,83,-0.016961773889123,0.0558892297490373
10,2504,6,2,6,4.84,0.290280666666667,11.3518312176348,9.02808098176513,1,103,-0.0180624480886532,0.0350954821652226
