"replicate","scenario","generation","gravity_signed","gravity_abs","divm_signed","divm_abs"
1,"Isotropic",2004,-0.000945115756614181,0.0237802607800822,0.0061224219851773,0.0301410657421698
1,"Isotropic",2054,0.00255846165901412,0.0289184099218879,0.0142391972595161,0.0466024663456447
1,"Isotropic",2104,-0.002287699096778,0.0353231963174478,0.00968893826330623,0.0695478966968179
1,"Isotropic",2154,0.00512800266505276,0.0233507875061633,0.00694826716859439,0.0977201230951997
1,"Isotropic",2204,-0.000464314802101061,0.0275249753432804,0.00936781878000413,0.0562976651776123
1,"Isotropic",2254,0.00943933046523048,0.0197779960873516,-0.00720354328241289,0.0360604037658947
1,"Isotropic",2304,0.00409649635810962,0.0229219431148301,-0.0137746727111621,0.0653436667232583
1,"Isotropic",2354,-0.00539281135804195,0.0262121395000322,-0.0224094208695599,0.0540637314215126
1,"Isotropic",2404,0.00364550850826794,0.0278718270456109,-0.000902637013221952,0.0615315841706463
1,"Isotropic",2454,0.00725907443146119,0.0386983361831141,0.00828525993857384,0.0348682111200778
1,"Isotropic",2504,-0.00132678630179155,0.0335563507793561,0.00476233742653209,0.0652580084422481
1,"Isotropic",2554,-0.000553052015528264,0.0303383273174178,-0.00113326541378815,0.052094774953203
1,"Isotropic",2604,0.00654470281163714,0.0293835157071869,-0.00526738810039802,0.0478073524172288
1,"Isotropic",2654,0.000738821110670844,0.0343516947801884,0.00365495168674191,0.0536527786054709
1,"Isotropic",2704,-0.0021567193351758,0.0409484549950964,0.00615903413127586,0.0597695291327673
1,"Isotropic",2754,-0.00100802736336854,0.0253123800033141,0.00904075237270266,0.0495105669662589
1,"Isotropic",2804,0.00147698315864105,0.0345011216255509,-0.00977819239746429,0.079237738415723
1,"Isotropic",2854,-0.00980144337878057,0.0217813114246262,-0.00393022729506977,0.0380573095994296
1,"Isotropic",2904,7.30435161303725e-05,0.0246873821786407,0.00694532979818405,0.0429519169563993
1,"Isotropic",2954,-0.00893324049814499,0.0410389965534656,0.0238564642445183,0.0617574896261124
1,"Isotropic",2999,-0.0124518669467178,0.0326477452126856,0.0179274694992755,0.068735876772902
1,"Redistributed",2004,0.000871033493353701,0.0266609475989613,0.00633005337715878,0.0431764602401863
1,"Redistributed",2054,-0.00136848067885454,0.0266923241959777,0.0224230751295871,0.0653053701087401
1,"Redistributed",2104,0.00310531036599697,0.0305050780203009,0.0206493065846015,0.0577219510536182
1,"Redistributed",2154,-0.00312340734288469,0.0382258684570182,0.0479102669889911,0.0654828020178041
1,"Redistributed",2204,-0.0145207153076828,0.0434168149268169,0.00283750593682281,0.00751689509837336
1,"Redistributed",2254,-0.0169571023235751,0.0453295082013,NA,NA
1,"Redistributed",2304,-0.0307943673451602,0.0503679835677537,0.0035061578446186,0.00359965804346013
1,"Redistributed",2354,-0.0149449659597109,0.046713482322225,0.00119503139073606,0.0012600891499652
1,"Redistributed",2404,-0.0151933688248903,0.0445188742378544,NA,NA
1,"Redistributed",2454,-0.0277511225990834,0.0463053076758272,NA,NA
1,"Redistributed",2504,-0.03089510274418,0.0601184750754675,0.00201409243820609,0.00263523799343691
1,"Redistributed",2554,-0.00735996251074891,0.0841977425497765,NA,NA
1,"Redistributed",2604,0.00339741622320364,0.0566353564367414,NA,NA
1,"Redistributed",2654,0.0392110014513042,0.0985596462373527,NA,NA
1,"Redistributed",2704,0.0114302960276037,0.0680094431759181,NA,NA
1,"Redistributed",2754,0.000191172996881827,0.106373825536968,NA,NA
1,"Redistributed",2804,0.0338450940775769,0.0887707324773863,NA,NA
1,"Redistributed",2854,0.099609505751423,0.181345043151328,NA,NA
1,"Redistributed",2904,0.0936373994196434,0.239424844912679,NA,NA
1,"Redistributed",2954,0.0957083905803425,0.151888262740293,NA,NA
1,"Redistributed",2999,0.0749102526788594,0.0912001521484592,NA,NA
1,"Obstructed",2004,-0.00149040142625089,0.0232613055120611,0.0345065260553903,0.0929343340819595
1,"Obstructed",2054,-0.00192240941740192,0.0266207938365531,0.0441420730575711,0.093968956258098
1,"Obstructed",2104,-0.00669966637515365,0.0267135761089103,0.0277486208178412,0.0621863526585778
1,"Obstructed",2154,0.000263936515245905,0.0362435043017117,0.0141716917070381,0.0763249720440014
1,"Obstructed",2204,-0.000569438445014042,0.0266769032431643,0.000649590408827647,0.0593878924415172
1,"Obstructed",2254,-0.00349549319039701,0.0279511727914277,0.0171036946726374,0.0455221750382996
1,"Obstructed",2304,-0.00447479405807533,0.0480719920658886,0.0235932732527039,0.0599647224193755
1,"Obstructed",2354,-0.00250740193125061,0.0323395851550849,0.019313959552795,0.0647937768642721
1,"Obstructed",2404,0.00324012314052039,0.0442638935274439,0.027968961442152,0.0761719192867994
1,"Obstructed",2454,-0.00916202843805066,0.0404753099763633,0.0643388616657965,0.0879776118760914
1,"Obstructed",2504,-0.0115315887835479,0.0460751993153039,0.0200181801077096,0.0455316261876575
1,"Obstructed",2554,-0.0115416939226282,0.0416579426741786,0.0345737655850605,0.0796409615994244
1,"Obstructed",2604,-0.00735756373344333,0.0467629783691989,0.0393622815874634,0.0663670314928497
1,"Obstructed",2654,-0.0152291485978743,0.0497943116843034,0.0111377281333421,0.0120381462835976
1,"Obstructed",2704,-5.93733720723887e-05,0.0610190443246065,0.00785244109999091,0.0234077454948259
1,"Obstructed",2754,-0.0178546402836877,0.051325499839589,0,0
1,"Obstructed",2804,-0.0282647240476034,0.0635654455682513,0.0196198274880033,0.0320349615693325
1,"Obstructed",2854,-0.0113097916861693,0.0560321814529696,0.0347386160952352,0.0559476224240817
1,"Obstructed",2904,-0.00353549946437059,0.0540913408535319,0.027440346656809,0.0308014837218599
1,"Obstructed",2954,-0.0218424025750639,0.0537128051836368,0.0329088579282147,0.0448302248083642
1,"Obstructed",2999,-0.0027849766167435,0.0448969216344704,0.00164960468408174,0.00256360204251829
2,"Isotropic",2004,-0.00479402385953322,0.043582174803461,0.00677288246460608,0.0538921650086405
2,"Isotropic",2054,0.0116194820391053,0.0413937350975597,0.00335894662295326,0.0163333122230029
2,"Isotropic",2104,0.00919252150604782,0.0344726873917516,-0.0226430293665208,0.0547189736213853
2,"Isotropic",2154,0.013896112008124,0.0305798428843058,-0.01131288927191,0.0989533764125252
2,"Isotropic",2204,0.00229544786754231,0.0338054906593743,0.00468284183413912,0.0721212823332345
2,"Isotropic",2254,0.00731736914550137,0.0323854589237513,-0.0239043830489242,0.0586213460685228
2,"Isotropic",2304,0.00847515534952187,0.0257861937596468,-0.0170422922423137,0.0588367828359713
2,"Isotropic",2354,-0.00197238079779864,0.0394964327736032,-0.00749093277090884,0.0242174166521512
2,"Isotropic",2404,0.0072543115738545,0.0305703073561151,-0.0163145480055752,0.0413984292126904
2,"Isotropic",2454,0.0108528472680342,0.0333048034268425,-0.013221009686359,0.046855470769611
2,"Isotropic",2504,0.0115570488942456,0.0350929176032328,-0.0207837373244535,0.0618100491225002
2,"Isotropic",2554,0.0160029068155398,0.0417630627638238,-0.0165535133206388,0.0516745262591927
2,"Isotropic",2604,0.0107927358606502,0.0432699687756593,-0.0162452697572333,0.0498735856269736
2,"Isotropic",2654,0.011345591023983,0.0391978357374174,-0.0183564589270242,0.0618948882536377
2,"Isotropic",2704,0.00381164066576573,0.0340630426956619,0.014538259779483,0.0487989361126154
2,"Isotropic",2754,0.0130816261984292,0.0273454367353982,9.5930100375177e-05,0.0514678166000502
2,"Isotropic",2804,0.0067054391025127,0.0423097399633796,-0.0091215984001775,0.0554420948315128
2,"Isotropic",2854,0.00794836456368259,0.0397687170124601,0.0108842940843237,0.0781741458608906
2,"Isotropic",2904,-0.00134160164068967,0.0364304450987798,0.00106705607765909,0.0749794602797457
2,"Isotropic",2954,0.00268199634927814,0.0355551309940615,-0.0186665248234186,0.0805075866275986
2,"Isotropic",2999,0.00305427886663763,0.0388147668126124,-0.00901180382377778,0.052045334306804
2,"Redistributed",2004,0.00220637208226908,0.0277220583977154,0.00474860815206053,0.0561627926286691
2,"Redistributed",2054,-0.00236882790332044,0.0398156421356833,0.0137081147740466,0.0533043316370993
2,"Redistributed",2104,0.00226788247127993,0.0283158528803002,0.0324597978767955,0.0661043528700723
2,"Redistributed",2154,-0.00496120736761878,0.0318367925630358,0.0427181250775712,0.07923352133824
2,"Redistributed",2204,-0.00988138531768236,0.0397336590942839,0.0169466011228438,0.0677639642539161
2,"Redistributed",2254,-0.0100463150358647,0.0298204008798392,0.00926756740317066,0.0117855539356642
2,"Redistributed",2304,-0.00731208661795519,0.036045489593125,NA,NA
2,"Redistributed",2354,-0.0161893925549587,0.0504835357083326,NA,NA
2,"Redistributed",2404,0.0112652139091354,0.077576560982385,NA,NA
2,"Redistributed",2454,-0.0115665071221318,0.0711711433566451,NA,NA
2,"Redistributed",2504,0.0214451957226849,0.0636091314939454,NA,NA
2,"Redistributed",2554,0.02969899127252,0.0882157336227909,NA,NA
2,"Redistributed",2604,0.00448456658129354,0.0601581480436317,NA,NA
2,"Redistributed",2654,0.00409998542368998,0.0431267288646425,NA,NA
2,"Redistributed",2704,0.0805285115483811,0.16090780007329,NA,NA
2,"Redistributed",2754,0.04036097567638,0.10540432487221,NA,NA
2,"Redistributed",2804,0.0733027758878617,0.187726862151032,NA,NA
2,"Redistributed",2854,0.0850729127841733,0.163583140583982,NA,NA
2,"Redistributed",2904,0.0380145746149067,0.0735306153014661,NA,NA
2,"Redistributed",2954,0.0900908825450664,0.159483098186891,NA,NA
2,"Redistributed",2999,0.120986947537631,0.145564445751845,NA,NA
2,"Obstructed",2004,0.00501277377417093,0.0408492225380683,-0.0066629753483679,0.0538007333668139
2,"Obstructed",2054,-0.000367246161087319,0.0329620664871905,-0.0104646890002303,0.0760561376373517
2,"Obstructed",2104,-0.00378381614943778,0.02127177556023,-0.00582824699436762,0.0552070762035102
2,"Obstructed",2154,0.00251905848789161,0.0306240577582757,0.016038278213306,0.0746621731964982
