"edge_class","mean_delta","mean_abs","n","replicate","scenario","generation"
"interior",-0.00892106723615296,0.0358147082336574,93,41,"Flux-conserved",2104
"all",-0.00892106723615296,0.0358147082336574,93,41,"Flux-conserved",2104
"interior",-0.00676032702629853,0.029394628224328,98,42,"Flux-conserved",2104
"all",-0.00676032702629853,0.029394628224328,98,42,"Flux-conserved",2104
"interior",2.50501775862734e-05,0.0490315622734213,65,43,"Flux-conserved",2104
"all",2.50501775862734e-05,0.0490315622734213,65,43,"Flux-conserved",2104
"interior",0.00738022540453755,0.0355010191872291,99,44,"Flux-conserved",2104
"all",0.00738022540453755,0.0355010191872291,99,44,"Flux-conserved",2104
"interior",0.00700247281654685,0.0311186289375292,98,45,"Flux-conserved",2104
"all",0.00700247281654685,0.0311186289375292,98,45,"Flux-conserved",2104
"interior",-0.0071881818876089,0.0403657890566008,76,46,"Flux-conserved",2104
"all",-0.0071881818876089,0.0403657890566008,76,46,"Flux-conserved",2104
"interior",0.00160614090333649,0.0334321326203877,89,47,"Flux-conserved",2104
"all",0.00160614090333649,0.0334321326203877,89,47,"Flux-conserved",2104
"interior",0.00338579176467167,0.0384118635083763,100,48,"Flux-conserved",2104
"all",0.00338579176467167,0.0384118635083763,100,48,"Flux-conserved",2104
"interior",-0.0102936516791064,0.0406352550843589,82,49,"Flux-conserved",2104
"all",-0.0102936516791064,0.0406352550843589,82,49,"Flux-conserved",2104
"interior",-0.00513289633636225,0.0291787721414773,114,50,"Flux-conserved",2104
"all",-0.00513289633636225,0.0291787721414773,114,50,"Flux-conserved",2104
"interior",-0.00669966637515365,0.0267135761089103,115,1,"Rate-conserved",2104
"all",-0.00669966637515365,0.0267135761089103,115,1,"Rate-conserved",2104
"interior",-0.00378381614943778,0.02127177556023,107,2,"Rate-conserved",2104
"all",-0.00378381614943778,0.02127177556023,107,2,"Rate-conserved",2104
"interior",-0.00340956295989226,0.0280797448075524,105,3,"Rate-conserved",2104
"all",-0.00340956295989226,0.0280797448075524,105,3,"Rate-conserved",2104
"interior",-0.000995801679505826,0.0351194818302453,108,4,"Rate-conserved",2104
"all",-0.000995801679505826,0.0351194818302453,108,4,"Rate-conserved",2104
"interior",-0.00815011475455205,0.0370567733732484,90,5,"Rate-conserved",2104
"all",-0.00815011475455205,0.0370567733732484,90,5,"Rate-conserved",2104
"interior",0.00140901243825102,0.0285354767561215,113,6,"Rate-conserved",2104
"all",0.00140901243825102,0.0285354767561215,113,6,"Rate-conserved",2104
"interior",-0.00209034737333363,0.0292784576826985,101,7,"Rate-conserved",2104
"all",-0.00209034737333363,0.0292784576826985,101,7,"Rate-conserved",2104
"interior",0.00276472357470125,0.0344375020632391,97,8,"Rate-conserved",2104
"all",0.00276472357470125,0.0344375020632391,97,8,"Rate-conserved",2104
"interior",-0.0076994711665893,0.0362456620032481,88,9,"Rate-conserved",2104
"all",-0.0076994711665893,0.0362456620032481,88,9,"Rate-conserved",2104
"interior",-0.0125929725970956,0.031992210192691,87,10,"Rate-conserved",2104
"all",-0.0125929725970956,0.031992210192691,87,10,"Rate-conserved",2104
"interior",-0.00627179354595464,0.0289902496665665,111,11,"Rate-conserved",2104
"all",-0.00627179354595464,0.0289902496665665,111,11,"Rate-conserved",2104
"interior",0.00401387906247813,0.0273201572629477,98,12,"Rate-conserved",2104
"all",0.00401387906247813,0.0273201572629477,98,12,"Rate-conserved",2104
"interior",0.00324069872404725,0.0333816308270241,95,13,"Rate-conserved",2104
"all",0.00324069872404725,0.0333816308270241,95,13,"Rate-conserved",2104
"interior",0.00517119588261756,0.0332727744794695,84,14,"Rate-conserved",2104
"all",0.00517119588261756,0.0332727744794695,84,14,"Rate-conserved",2104
"interior",0.00568865504076906,0.0409901693759413,80,15,"Rate-conserved",2104
"all",0.00568865504076906,0.0409901693759413,80,15,"Rate-conserved",2104
"interior",-0.00246770443110541,0.0346198138332019,101,16,"Rate-conserved",2104
"all",-0.00246770443110541,0.0346198138332019,101,16,"Rate-conserved",2104
"interior",0.00148585208655448,0.0291594300199753,109,17,"Rate-conserved",2104
"all",0.00148585208655448,0.0291594300199753,109,17,"Rate-conserved",2104
"interior",0.00116100024868313,0.0316636224235652,81,18,"Rate-conserved",2104
"leaf-incident",0.354926714265935,0.354926714265935,1,18,"Rate-conserved",2104
"all",0.00547521627328376,0.0356058552509112,82,18,"Rate-conserved",2104
"interior",-0.00616008181997633,0.040527606375012,81,19,"Rate-conserved",2104
"all",-0.00616008181997633,0.040527606375012,81,19,"Rate-conserved",2104
"interior",-0.00662006367879902,0.0316593265948867,95,20,"Rate-conserved",2104
"all",-0.00662006367879902,0.0316593265948867,95,20,"Rate-conserved",2104
"interior",0.00461031234937223,0.0386785403774104,85,21,"Rate-conserved",2104
"all",0.00461031234937223,0.0386785403774104,85,21,"Rate-conserved",2104
"interior",0.00326752362919027,0.0311700696882514,89,22,"Rate-conserved",2104
"all",0.00326752362919027,0.0311700696882514,89,22,"Rate-conserved",2104
"interior",-0.00984006250851208,0.0322574939786002,104,23,"Rate-conserved",2104
"all",-0.00984006250851208,0.0322574939786002,104,23,"Rate-conserved",2104
"interior",-0.00673770445723958,0.0244905350117374,100,24,"Rate-conserved",2104
"all",-0.00673770445723958,0.0244905350117374,100,24,"Rate-conserved",2104
"interior",0.000195394446955121,0.034421523186126,106,25,"Rate-conserved",2104
"all",0.000195394446955121,0.034421523186126,106,25,"Rate-conserved",2104
"interior",0.000494346224700524,0.0269923294325776,100,26,"Rate-conserved",2104
"all",0.000494346224700524,0.0269923294325776,100,26,"Rate-conserved",2104
"interior",-0.00410321848370734,0.0246505822993748,99,27,"Rate-conserved",2104
"all",-0.00410321848370734,0.0246505822993748,99,27,"Rate-conserved",2104
"interior",-0.00411976732621177,0.0351569774423629,94,28,"Rate-conserved",2104
"all",-0.00411976732621177,0.0351569774423629,94,28,"Rate-conserved",2104
"interior",-0.0064418642866513,0.0380718202504338,105,29,"Rate-conserved",2104
"all",-0.0064418642866513,0.0380718202504338,105,29,"Rate-conserved",2104
"interior",-0.0056888055454544,0.0318911073467074,92,30,"Rate-conserved",2104
"all",-0.0056888055454544,0.0318911073467074,92,30,"Rate-conserved",2104
"interior",-0.00956303942491386,0.0393986445493124,79,31,"Rate-conserved",2104
"all",-0.00956303942491386,0.0393986445493124,79,31,"Rate-conserved",2104
"interior",0.00162716048510226,0.0257375535117641,109,32,"Rate-conserved",2104
"all",0.00162716048510226,0.0257375535117641,109,32,"Rate-conserved",2104
"interior",0.00303360025670804,0.0252976354633313,100,33,"Rate-conserved",2104
"all",0.00303360025670804,0.0252976354633313,100,33,"Rate-conserved",2104
"interior",0.00863104176962925,0.0279122657843189,106,34,"Rate-conserved",2104
"all",0.00863104176962925,0.0279122657843189,106,34,"Rate-conserved",2104
"interior",-0.00418065814487136,0.028929519233968,96,35,"Rate-conserved",2104
"all",-0.00418065814487136,0.028929519233968,96,35,"Rate-conserved",2104
"interior",0.00959484314915067,0.0228539914363577,107,36,"Rate-conserved",2104
"all",0.00959484314915067,0.0228539914363577,107,36,"Rate-conserved",2104
"interior",-0.00116393014625311,0.0277036724580337,97,37,"Rate-conserved",2104
"all",-0.00116393014625311,0.0277036724580337,97,37,"Rate-conserved",2104
"interior",0.00204829651617746,0.0250349754109847,119,38,"Rate-conserved",2104
"all",0.00204829651617746,0.0250349754109847,119,38,"Rate-conserved",2104
"interior",0.00347645354425894,0.0362677937421754,88,39,"Rate-conserved",2104
"all",0.00347645354425894,0.0362677937421754,88,39,"Rate-conserved",2104
"interior",0.00499616188776003,0.0290791251455392,93,40,"Rate-conserved",2104
"all",0.00499616188776003,0.0290791251455392,93,40,"Rate-conserved",2104
"interior",0.000423226096239464,0.0319509548436158,100,41,"Rate-conserved",2104
"all",0.000423226096239464,0.0319509548436158,100,41,"Rate-conserved",2104
"interior",0.00224034142369308,0.0340065098720299,106,42,"Rate-conserved",2104
"all",0.00224034142369308,0.0340065098720299,106,42,"Rate-conserved",2104
"interior",0.00161967706388287,0.030211830573362,95,43,"Rate-conserved",2104
"all",0.00161967706388287,0.030211830573362,95,43,"Rate-conserved",2104
"interior",-0.00329393575175081,0.0276373760779562,85,44,"Rate-conserved",2104
"all",-0.00329393575175081,0.0276373760779562,85,44,"Rate-conserved",2104
"interior",0.00388949470257308,0.027460797985507,111,45,"Rate-conserved",2104
"all",0.00388949470257308,0.027460797985507,111,45,"Rate-conserved",2104
"interior",0.00833397577423695,0.0435877096982002,85,46,"Rate-conserved",2104
"all",0.00833397577423695,0.0435877096982002,85,46,"Rate-conserved",2104
"interior",-0.0110879198851088,0.0386105182677393,93,47,"Rate-conserved",2104
"all",-0.0110879198851088,0.0386105182677393,93,47,"Rate-conserved",2104
"interior",0.00330387655105209,0.027418733671993,112,48,"Rate-conserved",2104
"all",0.00330387655105209,0.027418733671993,112,48,"Rate-conserved",2104
"interior",0.00438245268081119,0.0505559748161093,82,49,"Rate-conserved",2104
"all",0.00438245268081119,0.0505559748161093,82,49,"Rate-conserved",2104
"interior",0.00246863129457157,0.0334921162593579,97,50,"Rate-conserved",2104
"all",0.00246863129457157,0.0334921162593579,97,50,"Rate-conserved",2104
"interior",0.00512800266505276,0.0233507875061633,105,1,"Isotropic",2154
"all",0.00512800266505276,0.0233507875061633,105,1,"Isotropic",2154
"interior",0.013896112008124,0.0305798428843058,93,2,"Isotropic",2154
"all",0.013896112008124,0.0305798428843058,93,2,"Isotropic",2154
"interior",-0.00363824449865347,0.0310328962218151,99,3,"Isotropic",2154
"all",-0.00363824449865347,0.0310328962218151,99,3,"Isotropic",2154
"interior",-0.00906032292553331,0.0302835930234412,95,4,"Isotropic",2154
"all",-0.00906032292553331,0.0302835930234412,95,4,"Isotropic",2154
"interior",0.000377110885585654,0.0307280410205751,102,5,"Isotropic",2154
"all",0.000377110885585654,0.0307280410205751,102,5,"Isotropic",2154
"interior",-0.00235200529577305,0.0291091713164741,105,6,"Isotropic",2154
"all",-0.00235200529577305,0.0291091713164741,105,6,"Isotropic",2154
"interior",-0.00218544945526634,0.0401036224614493,83,7,"Isotropic",2154
"all",-0.00218544945526634,0.0401036224614493,83,7,"Isotropic",2154
"interior",-0.00298201752603856,0.036780004952294,81,8,"Isotropic",2154
"all",-0.00298201752603856,0.036780004952294,81,8,"Isotropic",2154
"interior",-0.00435581213106116,0.038710671856828,93,9,"Isotropic",2154
"all",-0.00435581213106116,0.038710671856828,93,9,"Isotropic",2154
"interior",-0.0170421597084886,0.0336115453133011,90,10,"Isotropic",2154
"all",-0.0170421597084886,0.0336115453133011,90,10,"Isotropic",2154
"interior",-0.00024121115808748,0.0294806625055888,96,11,"Isotropic",2154
"all",-0.00024121115808748,0.0294806625055888,96,11,"Isotropic",2154
"interior",-0.00299644735513856,0.0342462041268066,106,12,"Isotropic",2154
"all",-0.00299644735513856,0.0342462041268066,106,12,"Isotropic",2154
"interior",-0.00829619925856771,0.0353782398212824,86,13,"Isotropic",2154
"all",-0.00829619925856771,0.0353782398212824,86,13,"Isotropic",2154
"interior",-0.0125294305771848,0.0364426804541752,100,14,"Isotropic",2154
"all",-0.0125294305771848,0.0364426804541752,100,14,"Isotropic",2154
"interior",0.00326742961665173,0.0333342484409688,92,15,"Isotropic",2154
"all",0.00326742961665173,0.0333342484409688,92,15,"Isotropic",2154
"interior",0.00561802953469872,0.0296829126313064,84,16,"Isotropic",2154
"all",0.00561802953469872,0.0296829126313064,84,16,"Isotropic",2154
"interior",0.00721026084441154,0.0246016608774268,112,17,"Isotropic",2154
"all",0.00721026084441154,0.0246016608774268,112,17,"Isotropic",2154
"interior",0.00723622394740276,0.0347964208743556,90,18,"Isotropic",2154
"all",0.00723622394740276,0.0347964208743556,90,18,"Isotropic",2154
"interior",-0.00271212549593369,0.041368501207703,82,19,"Isotropic",2154
"all",-0.00271212549593369,0.041368501207703,82,19,"Isotropic",2154
"interior",5.22992509450012e-05,0.0297510607468898,94,20,"Isotropic",2154
"all",5.22992509450012e-05,0.0297510607468898,94,20,"Isotropic",2154
"interior",0.000327275581255656,0.0344127988370109,81,21,"Isotropic",2154
"all",0.000327275581255656,0.0344127988370109,81,21,"Isotropic",2154
"interior",-0.000549825394081675,0.0283573392363154,103,22,"Isotropic",2154
"all",-0.000549825394081675,0.0283573392363154,103,22,"Isotropic",2154
"interior",-0.00495869889283542,0.0302337049445757,95,23,"Isotropic",2154
"all",-0.00495869889283542,0.0302337049445757,95,23,"Isotropic",2154
"interior",0.00990669409702102,0.0323123495528747,81,24,"Isotropic",2154
"all",0.00990669409702102,0.0323123495528747,81,24,"Isotropic",2154
"interior",0.00858743551615129,0.028012241517825,107,25,"Isotropic",2154
"all",0.00858743551615129,0.028012241517825,107,25,"Isotropic",2154
"interior",-0.00273794192653994,0.0398549103732006,91,26,"Isotropic",2154
"all",-0.00273794192653994,0.0398549103732006,91,26,"Isotropic",2154
"interior",0.0021347874785783,0.0258327662733707,97,27,"Isotropic",2154
"all",0.0021347874785783,0.0258327662733707,97,27,"Isotropic",2154
"interior",0.000756894424336793,0.0383903382098405,80,28,"Isotropic",2154
"all",0.000756894424336793,0.0383903382098405,80,28,"Isotropic",2154
"interior",-0.00388807853493043,0.0297494108528172,102,29,"Isotropic",2154
"all",-0.00388807853493043,0.0297494108528172,102,29,"Isotropic",2154
"interior",0.00851111374494658,0.0303814650566352,95,30,"Isotropic",2154
"all",0.00851111374494658,0.0303814650566352,95,30,"Isotropic",2154
"interior",0.00681418342964923,0.0316561602115049,93,31,"Isotropic",2154
"all",0.00681418342964923,0.0316561602115049,93,31,"Isotropic",2154
"interior",0.00958983443342867,0.0327330398930866,101,32,"Isotropic",2154
"all",0.00958983443342867,0.0327330398930866,101,32,"Isotropic",2154
"interior",0.00102000395433323,0.0273590029709098,96,33,"Isotropic",2154
"all",0.00102000395433323,0.0273590029709098,96,33,"Isotropic",2154
"interior",-0.00110215553341636,0.0312157741499176,92,34,"Isotropic",2154
"all",-0.00110215553341636,0.0312157741499176,92,34,"Isotropic",2154
"interior",0.00357019607385191,0.0332396529466689,96,35,"Isotropic",2154
"all",0.00357019607385191,0.0332396529466689,96,35,"Isotropic",2154
"interior",-0.00110881766891421,0.029470967976799,119,36,"Isotropic",2154
"all",-0.00110881766891421,0.029470967976799,119,36,"Isotropic",2154
"interior",-0.00363716344073532,0.0319208538575907,89,37,"Isotropic",2154
"all",-0.00363716344073532,0.0319208538575907,89,37,"Isotropic",2154
"interior",0.00370806637125534,0.0273182287251633,104,38,"Isotropic",2154
"all",0.00370806637125534,0.0273182287251633,104,38,"Isotropic",2154
"interior",-0.00305891173524725,0.0373042836124267,98,39,"Isotropic",2154
"all",-0.00305891173524725,0.0373042836124267,98,39,"Isotropic",2154
"interior",-0.00109289236800796,0.0315417502188609,98,40,"Isotropic",2154
"all",-0.00109289236800796,0.0315417502188609,98,40,"Isotropic",2154
"interior",0.00288297702394486,0.0347042339667114,98,41,"Isotropic",2154
"all",0.00288297702394486,0.0347042339667114,98,41,"Isotropic",2154
"interior",0.0114917559546344,0.0296510287649001,106,42,"Isotropic",2154
"all",0.0114917559546344,0.0296510287649001,106,42,"Isotropic",2154
"interior",0.0133164965669375,0.0390286572231473,79,43,"Isotropic",2154
"all",0.0133164965669375,0.0390286572231473,79,43,"Isotropic",2154
"interior",0.00649389935242759,0.0364128310462891,92,44,"Isotropic",2154
"all",0.00649389935242759,0.0364128310462891,92,44,"Isotropic",2154
"interior",0.00352251411438653,0.0249200196893342,98,45,"Isotropic",2154
"all",0.00352251411438653,0.0249200196893342,98,45,"Isotropic",2154
"interior",0.0101624567581005,0.0408638532569389,87,46,"Isotropic",2154
"all",0.0101624567581005,0.0408638532569389,87,46,"Isotropic",2154
"interior",-0.00160579080890836,0.0330829018466053,87,47,"Isotropic",2154
"all",-0.00160579080890836,0.0330829018466053,87,47,"Isotropic",2154
"interior",0.00391616962970517,0.024134752314925,105,48,"Isotropic",2154
"all",0.00391616962970517,0.024134752314925,105,48,"Isotropic",2154
"interior",0.00609093050477972,0.0197496358375689,102,49,"Isotropic",2154
"all",0.00609093050477972,0.0197496358375689,102,49,"Isotropic",2154
"interior",0.0047751939735376,0.0279033756761044,85,50,"Isotropic",2154
"all",0.0047751939735376,0.0279033756761044,85,50,"Isotropic",2154
"interior",-0.00312340734288469,0.0382258684570182,92,1,"Flux-conserved",2154
"all",-0.00312340734288469,0.0382258684570182,92,1,"Flux-conserved",2154
"interior",-0.00496120736761878,0.0318367925630358,92,2,"Flux-conserved",2154
"all",-0.00496120736761878,0.0318367925630358,92,2,"Flux-conserved",2154
"interior",-0.00359898398644968,0.0254293947236835,116,3,"Flux-conserved",2154
"all",-0.00359898398644968,0.0254293947236835,116,3,"Flux-conserved",2154
"interior",0.00577042681735797,0.0441344327364339,80,4,"Flux-conserved",2154
"all",0.00577042681735797,0.0441344327364339,80,4,"Flux-conserved",2154
"interior",-0.023888695326425,0.0485260603027253,84,5,"Flux-conserved",2154
"all",-0.023888695326425,0.0485260603027253,84,5,"Flux-conserved",2154
"interior",-0.00943261963221629,0.0375948175688424,89,6,"Flux-conserved",2154
"all",-0.00943261963221629,0.0375948175688424,89,6,"Flux-conserved",2154
"interior",-0.0144588484972593,0.0345887523950456,80,7,"Flux-conserved",2154
"all",-0.0144588484972593,0.0345887523950456,80,7,"Flux-conserved",2154
"interior",-0.00873762421560294,0.0390829051900411,81,8,"Flux-conserved",2154
"all",-0.00873762421560294,0.0390829051900411,81,8,"Flux-conserved",2154
"interior",-0.0100898534663934,0.0328702959716717,104,9,"Flux-conserved",2154
"all",-0.0100898534663934,0.0328702959716717,104,9,"Flux-conserved",2154
"interior",-0.0145581599369942,0.0365337631767668,95,10,"Flux-conserved",2154
"all",-0.0145581599369942,0.0365337631767668,95,10,"Flux-conserved",2154
"interior",-0.0164112828315654,0.0414321538470367,81,11,"Flux-conserved",2154
"all",-0.0164112828315654,0.0414321538470367,81,11,"Flux-conserved",2154
"interior",0.00448769122829047,0.0262886985842036,99,12,"Flux-conserved",2154
"all",0.00448769122829047,0.0262886985842036,99,12,"Flux-conserved",2154
"interior",-0.0104819602377036,0.0393917219616599,78,13,"Flux-conserved",2154
"all",-0.0104819602377036,0.0393917219616599,78,13,"Flux-conserved",2154
"interior",-0.00972858474795568,0.0369192519322526,84,14,"Flux-conserved",2154
"all",-0.00972858474795568,0.0369192519322526,84,14,"Flux-conserved",2154
"interior",-0.0103232972029837,0.0341042143813161,108,15,"Flux-conserved",2154
"all",-0.0103232972029837,0.0341042143813161,108,15,"Flux-conserved",2154
"interior",-0.00652595599148295,0.0365175798812322,94,16,"Flux-conserved",2154
"all",-0.00652595599148295,0.0365175798812322,94,16,"Flux-conserved",2154
"interior",-0.00278751715794397,0.0316893127562978,92,17,"Flux-conserved",2154
"all",-0.00278751715794397,0.0316893127562978,92,17,"Flux-conserved",2154
"interior",-0.0150138931126141,0.0413131176040884,84,18,"Flux-conserved",2154
"all",-0.0150138931126141,0.0413131176040884,84,18,"Flux-conserved",2154
"interior",-0.00887620078944741,0.0310918397556273,105,19,"Flux-conserved",2154
"all",-0.00887620078944741,0.0310918397556273,105,19,"Flux-conserved",2154
"interior",-0.00801884287963024,0.0328550582538965,95,20,"Flux-conserved",2154
"all",-0.00801884287963024,0.0328550582538965,95,20,"Flux-conserved",2154
"interior",-0.00787430724047455,0.067256927381475,64,21,"Flux-conserved",2154
"all",-0.00787430724047455,0.067256927381475,64,21,"Flux-conserved",2154
"interior",-0.0168469732159728,0.0485042019608966,90,22,"Flux-conserved",2154
"all",-0.0168469732159728,0.0485042019608966,90,22,"Flux-conserved",2154
"interior",-0.014909881634133,0.0415297363749948,91,23,"Flux-conserved",2154
"all",-0.014909881634133,0.0415297363749948,91,23,"Flux-conserved",2154
"interior",-0.0025541514572552,0.0288864951209163,94,24,"Flux-conserved",2154
"all",-0.0025541514572552,0.0288864951209163,94,24,"Flux-conserved",2154
"interior",-0.00741008528636374,0.0329549354341472,109,25,"Flux-conserved",2154
"all",-0.00741008528636374,0.0329549354341472,109,25,"Flux-conserved",2154
"interior",-0.000853408020097822,0.0279132100796576,101,26,"Flux-conserved",2154
"all",-0.000853408020097822,0.0279132100796576,101,26,"Flux-conserved",2154
"interior",-0.0181041149619332,0.0429353299287168,86,27,"Flux-conserved",2154
"all",-0.0181041149619332,0.0429353299287168,86,27,"Flux-conserved",2154
"interior",0.00480742141656848,0.0360510057704204,82,28,"Flux-conserved",2154
"all",0.00480742141656848,0.0360510057704204,82,28,"Flux-conserved",2154
"interior",-0.0198421129157822,0.0285841300969459,112,29,"Flux-conserved",2154
"all",-0.0198421129157822,0.0285841300969459,112,29,"Flux-conserved",2154
"interior",-0.00335372719544316,0.0300126118888133,100,30,"Flux-conserved",2154
"all",-0.00335372719544316,0.0300126118888133,100,30,"Flux-conserved",2154
"interior",-0.0115484523036143,0.0418112792936638,82,31,"Flux-conserved",2154
"all",-0.0115484523036143,0.0418112792936638,82,31,"Flux-conserved",2154
"interior",0.00150548451829479,0.0401329982375763,89,32,"Flux-conserved",2154
"all",0.00150548451829479,0.0401329982375763,89,32,"Flux-conserved",2154
"interior",-0.00799190299326688,0.0402938303911641,91,33,"Flux-conserved",2154
"all",-0.00799190299326688,0.0402938303911641,91,33,"Flux-conserved",2154
"interior",-0.0102957856231316,0.0325295233019787,106,34,"Flux-conserved",2154
"all",-0.0102957856231316,0.0325295233019787,106,34,"Flux-conserved",2154
"interior",0.00199462438292533,0.034646480607969,95,35,"Flux-conserved",2154
"all",0.00199462438292533,0.034646480607969,95,35,"Flux-conserved",2154
"interior",-0.000657858372167533,0.0380657121774618,89,36,"Flux-conserved",2154
"all",-0.000657858372167533,0.0380657121774618,89,36,"Flux-conserved",2154
"interior",-0.00626599248108396,0.0400069421121372,83,37,"Flux-conserved",2154
"all",-0.00626599248108396,0.0400069421121372,83,37,"Flux-conserved",2154
"interior",0.0022356693217414,0.0224117259025515,110,38,"Flux-conserved",2154
"all",0.0022356693217414,0.0224117259025515,110,38,"Flux-conserved",2154
"interior",-0.0103004884161631,0.0269247446505314,103,39,"Flux-conserved",2154
"all",-0.0103004884161631,0.0269247446505314,103,39,"Flux-conserved",2154
"interior",-0.00460256571234696,0.0299716829291706,105,40,"Flux-conserved",2154
"all",-0.00460256571234696,0.0299716829291706,105,40,"Flux-conserved",2154
"interior",0.00333879446235148,0.0420108048104667,91,41,"Flux-conserved",2154
"all",0.00333879446235148,0.0420108048104667,91,41,"Flux-conserved",2154
"interior",-0.0115057248859952,0.0325700196424496,98,42,"Flux-conserved",2154
"all",-0.0115057248859952,0.0325700196424496,98,42,"Flux-conserved",2154
"interior",-0.00982607341899796,0.0406592448564231,73,43,"Flux-conserved",2154
"all",-0.00982607341899796,0.0406592448564231,73,43,"Flux-conserved",2154
"interior",0.000621041569922642,0.0366068988104183,88,44,"Flux-conserved",2154
"all",0.000621041569922642,0.0366068988104183,88,44,"Flux-conserved",2154
"interior",-0.00877121235091889,0.0355098983641325,99,45,"Flux-conserved",2154
"all",-0.00877121235091889,0.0355098983641325,99,45,"Flux-conserved",2154
"interior",-0.00687847181780677,0.0381831005313553,88,46,"Flux-conserved",2154
"all",-0.00687847181780677,0.0381831005313553,88,46,"Flux-conserved",2154
"interior",-0.00697157622077526,0.0222295621353965,120,47,"Flux-conserved",2154
"all",-0.00697157622077526,0.0222295621353965,120,47,"Flux-conserved",2154
"interior",0.00285047007785871,0.029633620717544,93,48,"Flux-conserved",2154
"all",0.00285047007785871,0.029633620717544,93,48,"Flux-conserved",2154
"interior",-0.00186501152018507,0.0382274087099713,84,49,"Flux-conserved",2154
"all",-0.00186501152018507,0.0382274087099713,84,49,"Flux-conserved",2154
"interior",-0.00671034304703671,0.0375972210138675,95,50,"Flux-conserved",2154
"all",-0.00671034304703671,0.0375972210138675,95,50,"Flux-conserved",2154
"interior",0.000263936515245905,0.0362435043017117,114,1,"Rate-conserved",2154
"all",0.000263936515245905,0.0362435043017117,114,1,"Rate-conserved",2154
"interior",0.00251905848789161,0.0306240577582757,99,2,"Rate-conserved",2154
"all",0.00251905848789161,0.0306240577582757,99,2,"Rate-conserved",2154
"interior",-0.00310242683851894,0.0385734181292168,86,3,"Rate-conserved",2154
"all",-0.00310242683851894,0.0385734181292168,86,3,"Rate-conserved",2154
"interior",-0.00518483304634926,0.0302875652083608,98,4,"Rate-conserved",2154
"all",-0.00518483304634926,0.0302875652083608,98,4,"Rate-conserved",2154
"interior",-0.00190538633242872,0.0458487680218841,78,5,"Rate-conserved",2154
"all",-0.00190538633242872,0.0458487680218841,78,5,"Rate-conserved",2154
"interior",-0.0104187267145404,0.0337243009951674,97,6,"Rate-conserved",2154
"all",-0.0104187267145404,0.0337243009951674,97,6,"Rate-conserved",2154
"interior",0.00139385867777339,0.0321703836903462,103,7,"Rate-conserved",2154
"all",0.00139385867777339,0.0321703836903462,103,7,"Rate-conserved",2154
"interior",-0.0103969248650959,0.0289904987200111,94,8,"Rate-conserved",2154
"all",-0.0103969248650959,0.0289904987200111,94,8,"Rate-conserved",2154
"interior",-0.0100317499563307,0.0378314361059556,103,9,"Rate-conserved",2154
"all",-0.0100317499563307,0.0378314361059556,103,9,"Rate-conserved",2154
"interior",-0.0195455724716602,0.0425936246717853,86,10,"Rate-conserved",2154
"all",-0.0195455724716602,0.0425936246717853,86,10,"Rate-conserved",2154
"interior",-0.0099898703225646,0.0367294304144648,103,11,"Rate-conserved",2154
"all",-0.0099898703225646,0.0367294304144648,103,11,"Rate-conserved",2154
"interior",0.0111271543879607,0.0350633420501691,102,12,"Rate-conserved",2154
"all",0.0111271543879607,0.0350633420501691,102,12,"Rate-conserved",2154
"interior",-0.00753353875750963,0.032965677996993,91,13,"Rate-conserved",2154
"all",-0.00753353875750963,0.032965677996993,91,13,"Rate-conserved",2154
"interior",-0.00995839429813782,0.037718357522669,89,14,"Rate-conserved",2154
"all",-0.00995839429813782,0.037718357522669,89,14,"Rate-conserved",2154
"interior",0.00528062554796941,0.0412203066913062,75,15,"Rate-conserved",2154
"all",0.00528062554796941,0.0412203066913062,75,15,"Rate-conserved",2154
"interior",-0.00777198437307263,0.0320692021033322,101,16,"Rate-conserved",2154
"all",-0.00777198437307263,0.0320692021033322,101,16,"Rate-conserved",2154
"interior",-0.000897549238889643,0.0380615102398335,96,17,"Rate-conserved",2154
"all",-0.000897549238889643,0.0380615102398335,96,17,"Rate-conserved",2154
"interior",0.00124457042493405,0.0392238741383882,81,18,"Rate-conserved",2154
"all",0.00124457042493405,0.0392238741383882,81,18,"Rate-conserved",2154
"interior",-0.00753238128283961,0.0321761729282315,103,19,"Rate-conserved",2154
"all",-0.00753238128283961,0.0321761729282315,103,19,"Rate-conserved",2154
"interior",-0.00224528670723985,0.0376267593811486,95,20,"Rate-conserved",2154
"all",-0.00224528670723985,0.0376267593811486,95,20,"Rate-conserved",2154
"interior",-0.00844922231295761,0.0468235930238565,79,21,"Rate-conserved",2154
"all",-0.00844922231295761,0.0468235930238565,79,21,"Rate-conserved",2154
"interior",0.00179068233356149,0.0293431035591127,102,22,"Rate-conserved",2154
"all",0.00179068233356149,0.0293431035591127,102,22,"Rate-conserved",2154
"interior",-0.00993647302059697,0.0344717172429281,93,23,"Rate-conserved",2154
"all",-0.00993647302059697,0.0344717172429281,93,23,"Rate-conserved",2154
"interior",0.00184618649630127,0.04155515639614,88,24,"Rate-conserved",2154
"all",0.00184618649630127,0.04155515639614,88,24,"Rate-conserved",2154
"interior",-0.000100549665269016,0.0362662229329435,108,25,"Rate-conserved",2154
"all",-0.000100549665269016,0.0362662229329435,108,25,"Rate-conserved",2154
"interior",-0.00380126196770759,0.0296983381744968,95,26,"Rate-conserved",2154
"all",-0.00380126196770759,0.0296983381744968,95,26,"Rate-conserved",2154
