"edge_class","mean_delta","mean_abs","n","replicate","scenario","generation"
"interior",-0.00573795807316867,0.0367270901092992,88,45,"Isotropic",2004
"all",-0.00573795807316867,0.0367270901092992,88,45,"Isotropic",2004
"interior",0.0146191616421018,0.0428226355764017,82,46,"Isotropic",2004
"all",0.0146191616421018,0.0428226355764017,82,46,"Isotropic",2004
"interior",-0.00193996314499981,0.0388553848711994,95,47,"Isotropic",2004
"all",-0.00193996314499981,0.0388553848711994,95,47,"Isotropic",2004
"interior",0.00821515088471547,0.0242501564625452,122,48,"Isotropic",2004
"all",0.00821515088471547,0.0242501564625452,122,48,"Isotropic",2004
"interior",0.00728139145292677,0.0289014177466963,108,49,"Isotropic",2004
"all",0.00728139145292677,0.0289014177466963,108,49,"Isotropic",2004
"interior",-0.000577900040380192,0.03598362988709,117,50,"Isotropic",2004
"all",-0.000577900040380192,0.03598362988709,117,50,"Isotropic",2004
"interior",0.000871033493353701,0.0266609475989613,126,1,"Flux-conserved",2004
"all",0.000871033493353701,0.0266609475989613,126,1,"Flux-conserved",2004
"interior",0.00220637208226908,0.0277220583977154,89,2,"Flux-conserved",2004
"all",0.00220637208226908,0.0277220583977154,89,2,"Flux-conserved",2004
"interior",0.00144971943202514,0.0310200141847647,105,3,"Flux-conserved",2004
"all",0.00144971943202514,0.0310200141847647,105,3,"Flux-conserved",2004
"interior",0.0143995607709988,0.0328599219703742,96,4,"Flux-conserved",2004
"all",0.0143995607709988,0.0328599219703742,96,4,"Flux-conserved",2004
"interior",0.00526458123975121,0.0340012367492726,87,5,"Flux-conserved",2004
"all",0.00526458123975121,0.0340012367492726,87,5,"Flux-conserved",2004
"interior",-0.00960235360372813,0.0367026104391686,93,6,"Flux-conserved",2004
"all",-0.00960235360372813,0.0367026104391686,93,6,"Flux-conserved",2004
"interior",-0.00554576846732322,0.0336312619091854,88,7,"Flux-conserved",2004
"all",-0.00554576846732322,0.0336312619091854,88,7,"Flux-conserved",2004
"interior",0.00817768903294627,0.0400531954726103,89,8,"Flux-conserved",2004
"all",0.00817768903294627,0.0400531954726103,89,8,"Flux-conserved",2004
"interior",-0.0103061678154121,0.035838385060685,90,9,"Flux-conserved",2004
"all",-0.0103061678154121,0.035838385060685,90,9,"Flux-conserved",2004
"interior",-0.00541814775951534,0.0412309778477825,78,10,"Flux-conserved",2004
"all",-0.00541814775951534,0.0412309778477825,78,10,"Flux-conserved",2004
"interior",0.00688719469478863,0.0343386148854313,106,11,"Flux-conserved",2004
