"cond","replicate","alternative","sign_concord","rho_signed","rho_abs","dbar_pres"
1,1,"global",0.855670103092783,0.779586576898801,0.647761939827477,1
1,1,"scale x0.5",0.731958762886598,0.402614138438881,0.128550389227856,1
1,1,"scale x2",0.814432989690722,0.777272249105828,0.598201136124553,1
1,1,"perplexity",0.639175257731959,0.11044340416579,0.352724594992636,1
1,10,"global",0.851063829787234,0.729046707365531,0.688400823610158,1
1,10,"scale x0.5",0.776595744680851,0.530903442545967,0.139009500415417,1
1,10,"scale x2",0.765957446808511,0.680655998266084,0.530787848137846,1
1,10,"perplexity",0.712765957446808,0.379229129790846,0.168500523787162,1
1,11,"global",0.868217054263566,0.839819991055456,0.635901162790698,0
1,11,"scale x0.5",0.736434108527132,0.478846153846154,0.0843190966010734,1
1,11,"scale x2",0.767441860465116,0.7235521019678,0.583525268336315,0
1,11,"perplexity",0.65891472868217,0.0917095259391771,0.194856887298748,1
1,12,"global",0.893203883495146,0.911940429644599,0.835182093748627,1
1,12,"scale x0.5",0.766990291262136,0.694097878135571,0.363275930237666,0
1,12,"scale x2",0.815533980582524,0.786528577076835,0.7163928304705,1
1,12,"perplexity",0.689320388349515,0.32548433861969,0.236326494750253,0
1,13,"global",0.873563218390805,0.81468251075308,0.673270394401108,1
1,13,"scale x0.5",0.701149425287356,0.381588539768171,0.168786906758037,1
1,13,"scale x2",0.793103448275862,0.714842895676897,0.502059488226288,1
1,13,"perplexity",0.71264367816092,0.350860246409565,0.184497339068309,1
1,14,"global",0.84375,0.909400434074878,0.779639175257732,1
1,14,"scale x0.5",0.677083333333333,0.502536625067824,0.414894194248508,1
1,14,"scale x2",0.854166666666667,0.846771568095496,0.693678784590342,1
1,14,"perplexity",0.677083333333333,0.323575691806837,0.444994574064026,1
1,15,"global",0.908045977011494,0.935918932711234,0.867554858934169,1
1,15,"scale x0.5",0.804597701149425,0.730608004665743,0.512284027119633,0
1,15,"scale x2",0.908045977011494,0.935463293723117,0.828278778158489,1
1,15,"perplexity",0.735632183908046,0.48164686155865,0.576893635634614,1
1,16,"global",0.909090909090909,0.911255411255411,0.780098948670377,0
1,16,"scale x0.5",0.717171717171717,0.673976499690785,0.523574520717378,0
1,16,"scale x2",0.878787878787879,0.882906617192332,0.735151515151515,0
1,16,"perplexity",0.737373737373737,0.386147186147186,0.435052566481138,0
1,17,"global",0.907216494845361,0.873172207027141,0.6990058910162,1
1,17,"scale x0.5",0.670103092783505,0.516818325268252,0.334223122238586,1
1,17,"scale x2",0.855670103092783,0.817772985482853,0.661003576688407,1
1,17,"perplexity",0.711340206185567,0.381640542815064,0.302927098674521,1
1,18,"global",0.94047619047619,0.86915055178698,0.71839627417232,1
1,18,"scale x0.5",0.714285714285714,0.551361749519085,0.312989774222942,0
1,18,"scale x2",0.904761904761905,0.852181836590058,0.626830009112079,1
1,18,"perplexity",0.702380952380952,0.379993925280956,0.242482535182748,0
1,19,"global",0.795698924731183,0.798155829429142,0.591477425323028,0
1,19,"scale x0.5",0.645161290322581,0.427859508818,0.270433588970786,1
1,19,"scale x2",0.795698924731183,0.795574587448897,0.58516606487422,0
1,19,"perplexity",0.645161290322581,0.238488854406016,0.442451732267017,1
1,2,"global",0.876404494382023,0.82267620020429,0.747497446373851,1
1,2,"scale x0.5",0.674157303370786,0.483622744296902,0.441998638066054,1
1,2,"scale x2",0.865168539325843,0.793139257745999,0.60762683009874,1
1,2,"perplexity",0.662921348314607,0.155124276472591,0.237572352740892,1
1,20,"global",0.876288659793814,0.847030822638334,0.706672101830423,1
1,20,"scale x0.5",0.628865979381443,0.279586576898801,0.285661687355354,1
1,20,"scale x2",0.845360824742268,0.77319587628866,0.5353592467915,1
1,20,"perplexity",0.618556701030928,0.0964522406900905,0.350568062276457,1
1,21,"global",0.907563025210084,0.953610596781086,0.869783506622988,1
1,21,"scale x0.5",0.647058823529412,0.418829226605897,0.291909984332716,0
1,21,"scale x2",0.873949579831933,0.928720979917391,0.780423016664293,1
1,21,"perplexity",0.714285714285714,0.198632673408346,0.186284005127475,0
1,22,"global",0.786516853932584,0.787640449438202,0.730830779707184,1
1,22,"scale x0.5",0.719101123595506,0.59729315628192,0.521552604698672,0
1,22,"scale x2",0.752808988764045,0.663398025195778,0.535359210078311,1
1,22,"perplexity",0.617977528089888,0.248297582567246,0.490466462376575,0
1,23,"global",0.831578947368421,0.883090705487122,0.767679171332587,1
1,23,"scale x0.5",0.736842105263158,0.588857782754759,0.5253359462486,1
1,23,"scale x2",0.8,0.790005599104143,0.581438969764838,1
1,23,"perplexity",0.663157894736842,0.291391377379619,0.419722844344905,0
1,24,"global",0.880434782608696,0.875760985157899,0.706163401815576,1
1,24,"scale x0.5",0.576086956521739,0.313610653021593,0.284450472388761,1
1,24,"scale x2",0.869565217391304,0.826318141886164,0.62316785598693,1
1,24,"perplexity",0.66304347826087,0.256523280366198,0.483038700430005,1
1,25,"global",0.867256637168142,0.862407678488256,0.704213520526981,1
1,25,"scale x0.5",0.787610619469027,0.534774436090226,0.21415263823275,1
1,25,"scale x2",0.79646017699115,0.783834586466166,0.55643256371016,1
1,25,"perplexity",0.769911504424779,0.25311065273804,0.124243129948766,1
1,26,"global",0.902439024390244,0.932923604751648,0.873192658420503,1
1,26,"scale x0.5",0.739837398373984,0.581083695554036,0.257864596097045,1
1,26,"scale x2",0.894308943089431,0.89486785930789,0.749371219254234,1
1,26,"perplexity",0.59349593495935,0.245172898582502,0.439804723271982,1
1,27,"global",0.918604651162791,0.9025237039483,0.777102693523279,1
1,27,"scale x0.5",0.697674418604651,0.420161328364546,0.33417614038398,1
1,27,"scale x2",0.895348837209302,0.892994952592103,0.766592763809614,1
1,27,"perplexity",0.616279069767442,0.168356997971602,0.540223595452616,1
1,28,"global",0.876404494382023,0.884201566224038,0.792424242424243,0
1,28,"scale x0.5",0.696629213483146,0.478907048008172,0.479213483146067,1
1,28,"scale x2",0.842696629213483,0.838968335035751,0.678583588695948,0
1,28,"perplexity",0.674157303370786,0.243769152196119,0.375178753830439,1
1,29,"global",0.883720930232558,0.88310769375914,0.770045756875324,1
1,29,"scale x0.5",0.674418604651163,0.416934761073636,0.385688004151139,0
1,29,"scale x2",0.790697674418605,0.806896551724138,0.668078682956743,1
1,29,"perplexity",0.686046511627907,0.374725222887872,0.341799141468937,1
1,3,"global",0.902654867256637,0.950179652671502,0.888365826069599,1
1,3,"scale x0.5",0.699115044247788,0.518638964668308,0.309892541087231,1
1,3,"scale x2",0.867256637168142,0.898263357508816,0.755073524519263,1
1,3,"perplexity",0.716814159292035,0.438876505422849,0.285423181848426,0
1,30,"global",0.840909090909091,0.855816984255574,0.716582719876017,1
1,30,"scale x0.5",0.75,0.534341868902117,0.311066887393892,1
1,30,"scale x2",0.795454545454545,0.788647810925998,0.647264978338206,1
1,30,"perplexity",0.693181818181818,0.278081082033039,0.400426191398683,1
1,31,"global",0.875,0.88532284319045,0.743014107433532,1
1,31,"scale x0.5",0.65625,0.355453065653825,0.180005425935974,1
1,31,"scale x2",0.833333333333333,0.82738741182854,0.640558871405317,1
1,31,"perplexity",0.583333333333333,0.114053174172545,0.321459576776994,1
1,32,"global",0.835164835164835,0.867685937251155,0.7179646440516,1
1,32,"scale x0.5",0.714285714285714,0.55212613473483,0.322646918299092,1
1,32,"scale x2",0.846153846153846,0.848287943940118,0.627822901735945,1
1,32,"perplexity",0.725274725274725,0.35182353878006,0.28015607580825,1
1,33,"global",0.949152542372881,0.892352247287442,0.777027890686914,1
1,33,"scale x0.5",0.771186440677966,0.582600184793605,0.261862763358277,1
1,33,"scale x2",0.906779661016949,0.93097630186364,0.75462623119652,1
1,33,"perplexity",0.796610169491525,0.352323980439633,0.172409511392562,1
1,34,"global",0.875,0.811331055616217,0.674562361311683,1
1,34,"scale x0.5",0.659090909090909,0.337272375048431,0.252016484097073,1
1,34,"scale x2",0.829545454545455,0.829787608749252,0.585308724595823,1
1,34,"perplexity",0.602272727272727,0.185622204219647,0.279155366137156,0
1,35,"global",0.846153846153846,0.736263736263736,0.531581462016245,1
1,35,"scale x0.5",0.67032967032967,0.324892498805542,0.198184424271381,1
1,35,"scale x2",0.78021978021978,0.753957636566332,0.547380156075808,1
1,35,"perplexity",0.67032967032967,0.18143016403886,0.366825927695493,1
1,36,"global",0.849462365591398,0.856882814598191,0.707886962489929,0
1,36,"scale x0.5",0.817204301075269,0.652472322520963,0.251022052460386,1
1,36,"scale x2",0.827956989247312,0.774700844498821,0.572304616394617,0
1,36,"perplexity",0.731182795698925,0.339336337322073,0.187624958968697,1
1,37,"global",0.862385321100917,0.903280511537392,0.747780557872301,1
1,37,"scale x0.5",0.669724770642202,0.470901677323696,0.404744694652952,0
1,37,"scale x2",0.880733944954128,0.882846816791771,0.699555184876286,1
1,37,"perplexity",0.678899082568807,0.291465109813734,0.434639977759244,1
1,38,"global",0.886792452830189,0.891316724185707,0.764354989041993,1
1,38,"scale x0.5",0.707547169811321,0.463707584956042,0.259480565282011,1
1,38,"scale x2",0.849056603773585,0.828097841146686,0.681547724009371,1
1,38,"perplexity",0.707547169811321,0.233171272388342,0.366581857571101,0
1,39,"global",0.857142857142857,0.769958883737206,0.669180299186423,1
1,39,"scale x0.5",0.657142857142857,0.488338728020296,0.294164989939638,1
1,39,"scale x2",0.871428571428571,0.840783833435395,0.588802379494357,1
1,39,"perplexity",0.642857142857143,0.291680517889948,0.604409063074097,1
1,4,"global",0.9296875,0.938764649331624,0.824322468412379,1
1,4,"scale x0.5",0.6875,0.525258652261491,0.428510117194653,1
1,4,"scale x2",0.921875,0.91292231276323,0.735087438198132,1
1,4,"perplexity",0.6640625,0.233805621681011,0.302399972532503,1
1,40,"global",0.885057471264368,0.821826930086754,0.694138660056864,1
1,40,"scale x0.5",0.689655172413793,0.303820077276372,0.142815484435372,1
