"Stratum","He","n_poly","pop_index","is_terminus","replicate","scenario","generation"
"Pop11",0.18892,12,11,FALSE,4,"Isotropic",2004
"Pop12",0.23816,13,12,FALSE,4,"Isotropic",2004
"Pop13",0.2506475,14,13,FALSE,4,"Isotropic",2004
"Pop14",0.251595,15,14,FALSE,4,"Isotropic",2004
"Pop15",0.254515,15,15,FALSE,4,"Isotropic",2004
"Pop16",0.25338,14,16,FALSE,4,"Isotropic",2004
"Pop17",0.19305,13,17,FALSE,4,"Isotropic",2004
"Pop18",0.222035,14,18,FALSE,4,"Isotropic",2004
"Pop19",0.21372,13,19,FALSE,4,"Isotropic",2004
"Pop20",0.208475,14,20,FALSE,4,"Isotropic",2004
"Pop21",0.2297625,12,21,FALSE,4,"Isotropic",2004
"Pop22",0.237005,12,22,FALSE,4,"Isotropic",2004
"Pop23",0.2132775,11,23,FALSE,4,"Isotropic",2004
"Pop24",0.2237025,11,24,FALSE,4,"Isotropic",2004
"Pop25",0.1811225,11,25,TRUE,4,"Isotropic",2004
"Pop01",0.134065,10,1,TRUE,5,"Isotropic",2004
"Pop02",0.17333,12,2,FALSE,5,"Isotropic",2004
"Pop03",0.2398425,13,3,FALSE,5,"Isotropic",2004
"Pop04",0.220945,12,4,FALSE,5,"Isotropic",2004
"Pop05",0.2029425,13,5,FALSE,5,"Isotropic",2004
"Pop06",0.254255,15,6,FALSE,5,"Isotropic",2004
"Pop07",0.24797,16,7,FALSE,5,"Isotropic",2004
"Pop08",0.2618325,16,8,FALSE,5,"Isotropic",2004
"Pop09",0.23473,16,9,FALSE,5,"Isotropic",2004
"Pop10",0.2388775,17,10,FALSE,5,"Isotropic",2004
"Pop11",0.2826925,20,11,FALSE,5,"Isotropic",2004
"Pop12",0.33303,20,12,FALSE,5,"Isotropic",2004
"Pop13",0.342095,20,13,FALSE,5,"Isotropic",2004
"Pop14",0.3177425,19,14,FALSE,5,"Isotropic",2004
"Pop15",0.351475,17,15,FALSE,5,"Isotropic",2004
"Pop16",0.3987275,19,16,FALSE,5,"Isotropic",2004
"Pop17",0.338325,19,17,FALSE,5,"Isotropic",2004
"Pop18",0.27307,19,18,FALSE,5,"Isotropic",2004
