"Stratum","He","n_poly","pop_index","is_terminus","replicate","scenario","generation"
"Pop16",0.2157,14,16,FALSE,32,"Obstructed",2254
"Pop17",0.2362,14,17,FALSE,32,"Obstructed",2254
"Pop18",0.1944275,14,18,FALSE,32,"Obstructed",2254
"Pop19",0.2225625,12,19,FALSE,32,"Obstructed",2254
"Pop20",0.22627,15,20,FALSE,32,"Obstructed",2254
"Pop21",0.2044775,14,21,FALSE,32,"Obstructed",2254
"Pop22",0.19357,15,22,FALSE,32,"Obstructed",2254
"Pop23",0.1939575,13,23,FALSE,32,"Obstructed",2254
"Pop24",0.20714,12,24,FALSE,32,"Obstructed",2254
"Pop25",0.19203,12,25,TRUE,32,"Obstructed",2254
"Pop01",0.145315,7,1,TRUE,33,"Obstructed",2254
"Pop02",0.15665,9,2,FALSE,33,"Obstructed",2254
"Pop03",0.17878,9,3,FALSE,33,"Obstructed",2254
"Pop04",0.13949,9,4,FALSE,33,"Obstructed",2254
"Pop05",0.160555,9,5,FALSE,33,"Obstructed",2254
"Pop06",0.1683825,10,6,FALSE,33,"Obstructed",2254
"Pop07",0.2008475,12,7,FALSE,33,"Obstructed",2254
"Pop08",0.23564,12,8,FALSE,33,"Obstructed",2254
"Pop09",0.19652,12,9,FALSE,33,"Obstructed",2254
"Pop10",0.2062775,14,10,FALSE,33,"Obstructed",2254
"Pop11",0.214955,15,11,FALSE,33,"Obstructed",2254
"Pop12",0.1774275,15,12,FALSE,33,"Obstructed",2254
"Pop13",0.218705,16,13,FALSE,33,"Obstructed",2254
"Pop14",0.2084575,15,14,FALSE,33,"Obstructed",2254
"Pop15",0.1940575,15,15,FALSE,33,"Obstructed",2254
"Pop16",0.224735,14,16,FALSE,33,"Obstructed",2254
"Pop17",0.2106075,13,17,FALSE,33,"Obstructed",2254
"Pop18",0.2395175,15,18,FALSE,33,"Obstructed",2254
"Pop19",0.2768025,16,19,FALSE,33,"Obstructed",2254
"Pop20",0.2626675,14,20,FALSE,33,"Obstructed",2254
"Pop21",0.2683375,16,21,FALSE,33,"Obstructed",2254
"Pop22",0.25425,15,22,FALSE,33,"Obstructed",2254
"Pop23",0.253015,15,23,FALSE,33,"Obstructed",2254
"Pop24",0.2066425,15,24,FALSE,33,"Obstructed",2254
"Pop25",0.188095,15,25,TRUE,33,"Obstructed",2254
"Pop01",0.065455,5,1,TRUE,34,"Obstructed",2254
"Pop02",0.09443,10,2,FALSE,34,"Obstructed",2254
"Pop03",0.14906,10,3,FALSE,34,"Obstructed",2254
"Pop04",0.163655,12,4,FALSE,34,"Obstructed",2254
"Pop05",0.1372475,10,5,FALSE,34,"Obstructed",2254
"Pop06",0.194455,11,6,FALSE,34,"Obstructed",2254
"Pop07",0.23189,12,7,FALSE,34,"Obstructed",2254
"Pop08",0.212625,13,8,FALSE,34,"Obstructed",2254
"Pop09",0.25083,14,9,FALSE,34,"Obstructed",2254
"Pop10",0.2689425,15,10,FALSE,34,"Obstructed",2254
"Pop11",0.2209725,14,11,FALSE,34,"Obstructed",2254
"Pop12",0.2699725,16,12,FALSE,34,"Obstructed",2254
"Pop13",0.2336475,16,13,FALSE,34,"Obstructed",2254
"Pop14",0.262295,15,14,FALSE,34,"Obstructed",2254
"Pop15",0.19837,15,15,FALSE,34,"Obstructed",2254
"Pop16",0.210745,15,16,FALSE,34,"Obstructed",2254
"Pop17",0.2192575,14,17,FALSE,34,"Obstructed",2254
"Pop18",0.2423275,14,18,FALSE,34,"Obstructed",2254
"Pop19",0.227735,14,19,FALSE,34,"Obstructed",2254
"Pop20",0.2122575,13,20,FALSE,34,"Obstructed",2254
"Pop21",0.2039875,13,21,FALSE,34,"Obstructed",2254
"Pop22",0.214255,11,22,FALSE,34,"Obstructed",2254
"Pop23",0.2176825,12,23,FALSE,34,"Obstructed",2254
"Pop24",0.2134625,12,24,FALSE,34,"Obstructed",2254
"Pop25",0.19595,11,25,TRUE,34,"Obstructed",2254
"Pop01",0.095565,8,1,TRUE,35,"Obstructed",2254
"Pop02",0.133955,9,2,FALSE,35,"Obstructed",2254
"Pop03",0.189775,12,3,FALSE,35,"Obstructed",2254
"Pop04",0.1593775,11,4,FALSE,35,"Obstructed",2254
"Pop05",0.21656,12,5,FALSE,35,"Obstructed",2254
"Pop06",0.21054,12,6,FALSE,35,"Obstructed",2254
"Pop07",0.164745,12,7,FALSE,35,"Obstructed",2254
"Pop08",0.144055,11,8,FALSE,35,"Obstructed",2254
"Pop09",0.15862,9,9,FALSE,35,"Obstructed",2254
"Pop10",0.179125,11,10,FALSE,35,"Obstructed",2254
"Pop11",0.1715925,12,11,FALSE,35,"Obstructed",2254
"Pop12",0.219535,14,12,FALSE,35,"Obstructed",2254
"Pop13",0.2424425,15,13,FALSE,35,"Obstructed",2254
"Pop14",0.2071175,14,14,FALSE,35,"Obstructed",2254
"Pop15",0.1782,13,15,FALSE,35,"Obstructed",2254
"Pop16",0.167485,10,16,FALSE,35,"Obstructed",2254
"Pop17",0.148025,12,17,FALSE,35,"Obstructed",2254
"Pop18",0.1354975,11,18,FALSE,35,"Obstructed",2254
"Pop19",0.111965,9,19,FALSE,35,"Obstructed",2254
"Pop20",0.1218625,8,20,FALSE,35,"Obstructed",2254
"Pop21",0.1548125,8,21,FALSE,35,"Obstructed",2254
"Pop22",0.15715,8,22,FALSE,35,"Obstructed",2254
"Pop23",0.16072,8,23,FALSE,35,"Obstructed",2254
"Pop24",0.1557075,8,24,FALSE,35,"Obstructed",2254
"Pop25",0.139165,8,25,TRUE,35,"Obstructed",2254
"Pop01",0.0974925,8,1,TRUE,36,"Obstructed",2254
"Pop02",0.116955,8,2,FALSE,36,"Obstructed",2254
"Pop03",0.112615,8,3,FALSE,36,"Obstructed",2254
"Pop04",0.150705,11,4,FALSE,36,"Obstructed",2254
"Pop05",0.211015,14,5,FALSE,36,"Obstructed",2254
"Pop06",0.2367975,14,6,FALSE,36,"Obstructed",2254
"Pop07",0.3286275,15,7,FALSE,36,"Obstructed",2254
"Pop08",0.2851975,15,8,FALSE,36,"Obstructed",2254
"Pop09",0.3123225,15,9,FALSE,36,"Obstructed",2254
"Pop10",0.3127325,15,10,FALSE,36,"Obstructed",2254
"Pop11",0.3230125,15,11,FALSE,36,"Obstructed",2254
"Pop12",0.2931725,16,12,FALSE,36,"Obstructed",2254
"Pop13",0.2986425,16,13,FALSE,36,"Obstructed",2254
"Pop14",0.258,16,14,FALSE,36,"Obstructed",2254
"Pop15",0.2583925,15,15,FALSE,36,"Obstructed",2254
"Pop16",0.2599575,15,16,FALSE,36,"Obstructed",2254
"Pop17",0.24707,16,17,FALSE,36,"Obstructed",2254
"Pop18",0.21303,13,18,FALSE,36,"Obstructed",2254
"Pop19",0.20571,15,19,FALSE,36,"Obstructed",2254
"Pop20",0.18145,13,20,FALSE,36,"Obstructed",2254
"Pop21",0.18363,12,21,FALSE,36,"Obstructed",2254
"Pop22",0.1412025,11,22,FALSE,36,"Obstructed",2254
"Pop23",0.1283575,11,23,FALSE,36,"Obstructed",2254
"Pop24",0.14207,8,24,FALSE,36,"Obstructed",2254
"Pop25",0.15687,9,25,TRUE,36,"Obstructed",2254
"Pop01",0.0960825,5,1,TRUE,37,"Obstructed",2254
"Pop02",0.13074,7,2,FALSE,37,"Obstructed",2254
"Pop03",0.14745,8,3,FALSE,37,"Obstructed",2254
"Pop04",0.1589125,9,4,FALSE,37,"Obstructed",2254
"Pop05",0.1844225,10,5,FALSE,37,"Obstructed",2254
"Pop06",0.1546525,10,6,FALSE,37,"Obstructed",2254
"Pop07",0.19329,11,7,FALSE,37,"Obstructed",2254
"Pop08",0.20865,12,8,FALSE,37,"Obstructed",2254
"Pop09",0.201085,11,9,FALSE,37,"Obstructed",2254
"Pop10",0.172375,11,10,FALSE,37,"Obstructed",2254
"Pop11",0.2041325,14,11,FALSE,37,"Obstructed",2254
"Pop12",0.224305,13,12,FALSE,37,"Obstructed",2254
"Pop13",0.2598475,16,13,FALSE,37,"Obstructed",2254
"Pop14",0.2662375,16,14,FALSE,37,"Obstructed",2254
"Pop15",0.2955125,15,15,FALSE,37,"Obstructed",2254
"Pop16",0.2691475,14,16,FALSE,37,"Obstructed",2254
"Pop17",0.2561675,14,17,FALSE,37,"Obstructed",2254
"Pop18",0.2815475,14,18,FALSE,37,"Obstructed",2254
"Pop19",0.27865,14,19,FALSE,37,"Obstructed",2254
"Pop20",0.2609,14,20,FALSE,37,"Obstructed",2254
"Pop21",0.2484975,13,21,FALSE,37,"Obstructed",2254
"Pop22",0.2272325,12,22,FALSE,37,"Obstructed",2254
"Pop23",0.1995,12,23,FALSE,37,"Obstructed",2254
"Pop24",0.2132075,11,24,FALSE,37,"Obstructed",2254
"Pop25",0.19376,10,25,TRUE,37,"Obstructed",2254
"Pop01",0.0855675,8,1,TRUE,38,"Obstructed",2254
"Pop02",0.112355,8,2,FALSE,38,"Obstructed",2254
"Pop03",0.1538675,10,3,FALSE,38,"Obstructed",2254
"Pop04",0.1609875,10,4,FALSE,38,"Obstructed",2254
"Pop05",0.1899375,10,5,FALSE,38,"Obstructed",2254
"Pop06",0.1612925,9,6,FALSE,38,"Obstructed",2254
"Pop07",0.163705,9,7,FALSE,38,"Obstructed",2254
"Pop08",0.1577075,12,8,FALSE,38,"Obstructed",2254
"Pop09",0.1945175,12,9,FALSE,38,"Obstructed",2254
"Pop10",0.20629,13,10,FALSE,38,"Obstructed",2254
"Pop11",0.1859875,15,11,FALSE,38,"Obstructed",2254
"Pop12",0.201135,14,12,FALSE,38,"Obstructed",2254
"Pop13",0.1568725,14,13,FALSE,38,"Obstructed",2254
"Pop14",0.1902175,13,14,FALSE,38,"Obstructed",2254
"Pop15",0.2123725,15,15,FALSE,38,"Obstructed",2254
"Pop16",0.2133125,14,16,FALSE,38,"Obstructed",2254
"Pop17",0.229315,12,17,FALSE,38,"Obstructed",2254
"Pop18",0.2034625,13,18,FALSE,38,"Obstructed",2254
"Pop19",0.225755,13,19,FALSE,38,"Obstructed",2254
"Pop20",0.2309325,13,20,FALSE,38,"Obstructed",2254
"Pop21",0.2300075,14,21,FALSE,38,"Obstructed",2254
"Pop22",0.2442425,14,22,FALSE,38,"Obstructed",2254
"Pop23",0.2352875,15,23,FALSE,38,"Obstructed",2254
"Pop24",0.2178975,13,24,FALSE,38,"Obstructed",2254
"Pop25",0.2073975,14,25,TRUE,38,"Obstructed",2254
"Pop01",0.0573425,5,1,TRUE,39,"Obstructed",2254
"Pop02",0.1037475,7,2,FALSE,39,"Obstructed",2254
"Pop03",0.1396975,7,3,FALSE,39,"Obstructed",2254
"Pop04",0.1421925,7,4,FALSE,39,"Obstructed",2254
"Pop05",0.140445,8,5,FALSE,39,"Obstructed",2254
"Pop06",0.1392775,8,6,FALSE,39,"Obstructed",2254
"Pop07",0.1177475,8,7,FALSE,39,"Obstructed",2254
"Pop08",0.1345075,7,8,FALSE,39,"Obstructed",2254
"Pop09",0.12484,9,9,FALSE,39,"Obstructed",2254
"Pop10",0.1442625,9,10,FALSE,39,"Obstructed",2254
"Pop11",0.11299,8,11,FALSE,39,"Obstructed",2254
"Pop12",0.13105,8,12,FALSE,39,"Obstructed",2254
"Pop13",0.152735,10,13,FALSE,39,"Obstructed",2254
"Pop14",0.1615825,11,14,FALSE,39,"Obstructed",2254
"Pop15",0.17019,11,15,FALSE,39,"Obstructed",2254
"Pop16",0.1942625,11,16,FALSE,39,"Obstructed",2254
"Pop17",0.2024075,12,17,FALSE,39,"Obstructed",2254
"Pop18",0.2114275,13,18,FALSE,39,"Obstructed",2254
"Pop19",0.162245,13,19,FALSE,39,"Obstructed",2254
"Pop20",0.1414575,12,20,FALSE,39,"Obstructed",2254
"Pop21",0.1491425,12,21,FALSE,39,"Obstructed",2254
"Pop22",0.1355125,11,22,FALSE,39,"Obstructed",2254
"Pop23",0.175405,10,23,FALSE,39,"Obstructed",2254
"Pop24",0.1670125,8,24,FALSE,39,"Obstructed",2254
"Pop25",0.13119,8,25,TRUE,39,"Obstructed",2254
"Pop01",0.1363625,6,1,TRUE,40,"Obstructed",2254
"Pop02",0.1255125,6,2,FALSE,40,"Obstructed",2254
"Pop03",0.1075225,6,3,FALSE,40,"Obstructed",2254
"Pop04",0.1273,8,4,FALSE,40,"Obstructed",2254
"Pop05",0.1244225,8,5,FALSE,40,"Obstructed",2254
"Pop06",0.108365,8,6,FALSE,40,"Obstructed",2254
"Pop07",0.133035,7,7,FALSE,40,"Obstructed",2254
"Pop08",0.1060775,9,8,FALSE,40,"Obstructed",2254
"Pop09",0.149825,9,9,FALSE,40,"Obstructed",2254
"Pop10",0.1993125,11,10,FALSE,40,"Obstructed",2254
"Pop11",0.1823025,10,11,FALSE,40,"Obstructed",2254
"Pop12",0.17525,10,12,FALSE,40,"Obstructed",2254
"Pop13",0.19907,12,13,FALSE,40,"Obstructed",2254
"Pop14",0.1983675,12,14,FALSE,40,"Obstructed",2254
"Pop15",0.1795,12,15,FALSE,40,"Obstructed",2254
"Pop16",0.1652325,11,16,FALSE,40,"Obstructed",2254
"Pop17",0.178465,10,17,FALSE,40,"Obstructed",2254
"Pop18",0.154685,10,18,FALSE,40,"Obstructed",2254
"Pop19",0.1671175,9,19,FALSE,40,"Obstructed",2254
"Pop20",0.1220975,9,20,FALSE,40,"Obstructed",2254
"Pop21",0.14167,10,21,FALSE,40,"Obstructed",2254
"Pop22",0.1415275,9,22,FALSE,40,"Obstructed",2254
"Pop23",0.135705,8,23,FALSE,40,"Obstructed",2254
"Pop24",0.1542575,8,24,FALSE,40,"Obstructed",2254
"Pop25",0.15407,8,25,TRUE,40,"Obstructed",2254
"Pop01",0.02436,1,1,TRUE,41,"Obstructed",2254
"Pop02",0.0412875,3,2,FALSE,41,"Obstructed",2254
"Pop03",0.0610025,4,3,FALSE,41,"Obstructed",2254
"Pop04",0.0706925,5,4,FALSE,41,"Obstructed",2254
"Pop05",0.0481475,7,5,FALSE,41,"Obstructed",2254
"Pop06",0.0907275,7,6,FALSE,41,"Obstructed",2254
"Pop07",0.1030875,8,7,FALSE,41,"Obstructed",2254
"Pop08",0.13221,8,8,FALSE,41,"Obstructed",2254
"Pop09",0.1128275,7,9,FALSE,41,"Obstructed",2254
"Pop10",0.1514075,8,10,FALSE,41,"Obstructed",2254
"Pop11",0.1719025,10,11,FALSE,41,"Obstructed",2254
"Pop12",0.16642,10,12,FALSE,41,"Obstructed",2254
"Pop13",0.1704575,11,13,FALSE,41,"Obstructed",2254
"Pop14",0.1689575,9,14,FALSE,41,"Obstructed",2254
"Pop15",0.1527225,10,15,FALSE,41,"Obstructed",2254
"Pop16",0.1783725,11,16,FALSE,41,"Obstructed",2254
"Pop17",0.161335,11,17,FALSE,41,"Obstructed",2254
"Pop18",0.1545725,11,18,FALSE,41,"Obstructed",2254
"Pop19",0.12299,9,19,FALSE,41,"Obstructed",2254
"Pop20",0.1117075,9,20,FALSE,41,"Obstructed",2254
"Pop21",0.11795,7,21,FALSE,41,"Obstructed",2254
"Pop22",0.1385675,8,22,FALSE,41,"Obstructed",2254
"Pop23",0.12232,10,23,FALSE,41,"Obstructed",2254
"Pop24",0.11744,8,24,FALSE,41,"Obstructed",2254
"Pop25",0.134025,8,25,TRUE,41,"Obstructed",2254
"Pop01",0.0448475,3,1,TRUE,42,"Obstructed",2254
"Pop02",0.0545275,5,2,FALSE,42,"Obstructed",2254
"Pop03",0.1229275,7,3,FALSE,42,"Obstructed",2254
"Pop04",0.15298,10,4,FALSE,42,"Obstructed",2254
"Pop05",0.142515,10,5,FALSE,42,"Obstructed",2254
"Pop06",0.145215,9,6,FALSE,42,"Obstructed",2254
"Pop07",0.1664475,12,7,FALSE,42,"Obstructed",2254
"Pop08",0.18869,12,8,FALSE,42,"Obstructed",2254
"Pop09",0.1547225,10,9,FALSE,42,"Obstructed",2254
"Pop10",0.20932,11,10,FALSE,42,"Obstructed",2254
"Pop11",0.2064725,13,11,FALSE,42,"Obstructed",2254
"Pop12",0.2238325,14,12,FALSE,42,"Obstructed",2254
"Pop13",0.198555,13,13,FALSE,42,"Obstructed",2254
"Pop14",0.17308,11,14,FALSE,42,"Obstructed",2254
"Pop15",0.2229,13,15,FALSE,42,"Obstructed",2254
"Pop16",0.178625,14,16,FALSE,42,"Obstructed",2254
"Pop17",0.18988,12,17,FALSE,42,"Obstructed",2254
"Pop18",0.1632825,10,18,FALSE,42,"Obstructed",2254
"Pop19",0.1394,9,19,FALSE,42,"Obstructed",2254
"Pop20",0.156535,9,20,FALSE,42,"Obstructed",2254
"Pop21",0.19169,10,21,FALSE,42,"Obstructed",2254
"Pop22",0.1843725,10,22,FALSE,42,"Obstructed",2254
"Pop23",0.16022,10,23,FALSE,42,"Obstructed",2254
"Pop24",0.1779675,9,24,FALSE,42,"Obstructed",2254
"Pop25",0.1591975,9,25,TRUE,42,"Obstructed",2254
"Pop01",0.0667775,3,1,TRUE,43,"Obstructed",2254
"Pop02",0.0749875,3,2,FALSE,43,"Obstructed",2254
"Pop03",0.0691175,6,3,FALSE,43,"Obstructed",2254
"Pop04",0.0987125,5,4,FALSE,43,"Obstructed",2254
"Pop05",0.0815875,5,5,FALSE,43,"Obstructed",2254
"Pop06",0.073535,5,6,FALSE,43,"Obstructed",2254
"Pop07",0.082585,4,7,FALSE,43,"Obstructed",2254
"Pop08",0.1038175,8,8,FALSE,43,"Obstructed",2254
"Pop09",0.1385625,12,9,FALSE,43,"Obstructed",2254
"Pop10",0.15607,12,10,FALSE,43,"Obstructed",2254
"Pop11",0.2232,14,11,FALSE,43,"Obstructed",2254
"Pop12",0.219565,14,12,FALSE,43,"Obstructed",2254
"Pop13",0.23414,14,13,FALSE,43,"Obstructed",2254
"Pop14",0.22536,15,14,FALSE,43,"Obstructed",2254
"Pop15",0.2147075,13,15,FALSE,43,"Obstructed",2254
"Pop16",0.2173125,15,16,FALSE,43,"Obstructed",2254
"Pop17",0.1948925,13,17,FALSE,43,"Obstructed",2254
"Pop18",0.1378575,14,18,FALSE,43,"Obstructed",2254
"Pop19",0.15121,13,19,FALSE,43,"Obstructed",2254
"Pop20",0.1656925,12,20,FALSE,43,"Obstructed",2254
"Pop21",0.14024,11,21,FALSE,43,"Obstructed",2254
"Pop22",0.1711625,10,22,FALSE,43,"Obstructed",2254
"Pop23",0.1548325,11,23,FALSE,43,"Obstructed",2254
"Pop24",0.17379,13,24,FALSE,43,"Obstructed",2254
"Pop25",0.112195,12,25,TRUE,43,"Obstructed",2254
"Pop01",0.0457925,4,1,TRUE,44,"Obstructed",2254
"Pop02",0.0775375,5,2,FALSE,44,"Obstructed",2254
"Pop03",0.1073125,6,3,FALSE,44,"Obstructed",2254
"Pop04",0.101185,7,4,FALSE,44,"Obstructed",2254
"Pop05",0.13345,9,5,FALSE,44,"Obstructed",2254
"Pop06",0.1431325,9,6,FALSE,44,"Obstructed",2254
"Pop07",0.1455425,8,7,FALSE,44,"Obstructed",2254
"Pop08",0.174495,13,8,FALSE,44,"Obstructed",2254
"Pop09",0.19323,13,9,FALSE,44,"Obstructed",2254
"Pop10",0.2382925,14,10,FALSE,44,"Obstructed",2254
"Pop11",0.2913825,15,11,FALSE,44,"Obstructed",2254
"Pop12",0.26632,15,12,FALSE,44,"Obstructed",2254
"Pop13",0.2553325,16,13,FALSE,44,"Obstructed",2254
"Pop14",0.260555,14,14,FALSE,44,"Obstructed",2254
"Pop15",0.2676375,17,15,FALSE,44,"Obstructed",2254
"Pop16",0.2491375,17,16,FALSE,44,"Obstructed",2254
"Pop17",0.20464,13,17,FALSE,44,"Obstructed",2254
"Pop18",0.217985,15,18,FALSE,44,"Obstructed",2254
"Pop19",0.2221675,14,19,FALSE,44,"Obstructed",2254
"Pop20",0.224395,13,20,FALSE,44,"Obstructed",2254
"Pop21",0.217385,13,21,FALSE,44,"Obstructed",2254
"Pop22",0.2354675,13,22,FALSE,44,"Obstructed",2254
"Pop23",0.250195,13,23,FALSE,44,"Obstructed",2254
"Pop24",0.23263,12,24,FALSE,44,"Obstructed",2254
"Pop25",0.201095,11,25,TRUE,44,"Obstructed",2254
"Pop01",0.0455775,4,1,TRUE,45,"Obstructed",2254
"Pop02",0.059165,5,2,FALSE,45,"Obstructed",2254
"Pop03",0.050345,4,3,FALSE,45,"Obstructed",2254
"Pop04",0.0710975,5,4,FALSE,45,"Obstructed",2254
"Pop05",0.0776,5,5,FALSE,45,"Obstructed",2254
"Pop06",0.083765,8,6,FALSE,45,"Obstructed",2254
"Pop07",0.1220875,8,7,FALSE,45,"Obstructed",2254
"Pop08",0.09871,7,8,FALSE,45,"Obstructed",2254
"Pop09",0.111255,11,9,FALSE,45,"Obstructed",2254
"Pop10",0.1127625,10,10,FALSE,45,"Obstructed",2254
"Pop11",0.16885,12,11,FALSE,45,"Obstructed",2254
"Pop12",0.1493675,13,12,FALSE,45,"Obstructed",2254
"Pop13",0.1831325,14,13,FALSE,45,"Obstructed",2254
"Pop14",0.20057,13,14,FALSE,45,"Obstructed",2254
"Pop15",0.193435,13,15,FALSE,45,"Obstructed",2254
"Pop16",0.261665,14,16,FALSE,45,"Obstructed",2254
"Pop17",0.250935,13,17,FALSE,45,"Obstructed",2254
"Pop18",0.2416725,13,18,FALSE,45,"Obstructed",2254
"Pop19",0.20163,12,19,FALSE,45,"Obstructed",2254
"Pop20",0.1775125,12,20,FALSE,45,"Obstructed",2254
"Pop21",0.184205,10,21,FALSE,45,"Obstructed",2254
"Pop22",0.1738725,10,22,FALSE,45,"Obstructed",2254
"Pop23",0.1741075,11,23,FALSE,45,"Obstructed",2254
"Pop24",0.1943675,12,24,FALSE,45,"Obstructed",2254
"Pop25",0.16906,12,25,TRUE,45,"Obstructed",2254
"Pop01",0.037375,2,1,TRUE,46,"Obstructed",2254
"Pop02",0.038095,2,2,FALSE,46,"Obstructed",2254
"Pop03",0.070075,8,3,FALSE,46,"Obstructed",2254
"Pop04",0.11534,9,4,FALSE,46,"Obstructed",2254
"Pop05",0.1588325,10,5,FALSE,46,"Obstructed",2254
"Pop06",0.17008,10,6,FALSE,46,"Obstructed",2254
"Pop07",0.1920225,13,7,FALSE,46,"Obstructed",2254
"Pop08",0.2836425,16,8,FALSE,46,"Obstructed",2254
"Pop09",0.2795475,15,9,FALSE,46,"Obstructed",2254
"Pop10",0.269575,18,10,FALSE,46,"Obstructed",2254
"Pop11",0.2873775,16,11,FALSE,46,"Obstructed",2254
"Pop12",0.22091,16,12,FALSE,46,"Obstructed",2254
"Pop13",0.256255,14,13,FALSE,46,"Obstructed",2254
"Pop14",0.2200125,14,14,FALSE,46,"Obstructed",2254
"Pop15",0.191835,13,15,FALSE,46,"Obstructed",2254
"Pop16",0.198175,14,16,FALSE,46,"Obstructed",2254
"Pop17",0.221315,14,17,FALSE,46,"Obstructed",2254
"Pop18",0.199615,12,18,FALSE,46,"Obstructed",2254
"Pop19",0.2283775,13,19,FALSE,46,"Obstructed",2254
"Pop20",0.1823775,11,20,FALSE,46,"Obstructed",2254
"Pop21",0.202715,13,21,FALSE,46,"Obstructed",2254
"Pop22",0.2257075,12,22,FALSE,46,"Obstructed",2254
"Pop23",0.2037175,12,23,FALSE,46,"Obstructed",2254
"Pop24",0.19029,11,24,FALSE,46,"Obstructed",2254
"Pop25",0.18373,10,25,TRUE,46,"Obstructed",2254
"Pop01",0.0607475,5,1,TRUE,47,"Obstructed",2254
"Pop02",0.07891,7,2,FALSE,47,"Obstructed",2254
"Pop03",0.0859925,6,3,FALSE,47,"Obstructed",2254
"Pop04",0.1192575,8,4,FALSE,47,"Obstructed",2254
"Pop05",0.098525,8,5,FALSE,47,"Obstructed",2254
"Pop06",0.0984075,8,6,FALSE,47,"Obstructed",2254
"Pop07",0.1364925,8,7,FALSE,47,"Obstructed",2254
"Pop08",0.1584,8,8,FALSE,47,"Obstructed",2254
"Pop09",0.16989,10,9,FALSE,47,"Obstructed",2254
"Pop10",0.2074175,11,10,FALSE,47,"Obstructed",2254
"Pop11",0.2103525,11,11,FALSE,47,"Obstructed",2254
"Pop12",0.2155525,11,12,FALSE,47,"Obstructed",2254
"Pop13",0.199285,12,13,FALSE,47,"Obstructed",2254
"Pop14",0.196875,11,14,FALSE,47,"Obstructed",2254
"Pop15",0.1672875,12,15,FALSE,47,"Obstructed",2254
"Pop16",0.1812225,11,16,FALSE,47,"Obstructed",2254
"Pop17",0.1321425,8,17,FALSE,47,"Obstructed",2254
"Pop18",0.186445,11,18,FALSE,47,"Obstructed",2254
"Pop19",0.1778375,10,19,FALSE,47,"Obstructed",2254
"Pop20",0.1603925,10,20,FALSE,47,"Obstructed",2254
"Pop21",0.1497675,10,21,FALSE,47,"Obstructed",2254
"Pop22",0.12118,10,22,FALSE,47,"Obstructed",2254
"Pop23",0.1565925,11,23,FALSE,47,"Obstructed",2254
"Pop24",0.17653,10,24,FALSE,47,"Obstructed",2254
"Pop25",0.1747425,9,25,TRUE,47,"Obstructed",2254
"Pop01",0.074195,7,1,TRUE,48,"Obstructed",2254
"Pop02",0.12405,7,2,FALSE,48,"Obstructed",2254
"Pop03",0.11837,8,3,FALSE,48,"Obstructed",2254
"Pop04",0.1729725,9,4,FALSE,48,"Obstructed",2254
"Pop05",0.1914775,10,5,FALSE,48,"Obstructed",2254
"Pop06",0.179055,10,6,FALSE,48,"Obstructed",2254
"Pop07",0.21086,10,7,FALSE,48,"Obstructed",2254
"Pop08",0.2242375,11,8,FALSE,48,"Obstructed",2254
"Pop09",0.2136925,13,9,FALSE,48,"Obstructed",2254
"Pop10",0.2531975,14,10,FALSE,48,"Obstructed",2254
"Pop11",0.2730375,15,11,FALSE,48,"Obstructed",2254
"Pop12",0.244015,14,12,FALSE,48,"Obstructed",2254
"Pop13",0.2202375,15,13,FALSE,48,"Obstructed",2254
"Pop14",0.19739,14,14,FALSE,48,"Obstructed",2254
"Pop15",0.1931825,14,15,FALSE,48,"Obstructed",2254
"Pop16",0.1835875,12,16,FALSE,48,"Obstructed",2254
"Pop17",0.14897,12,17,FALSE,48,"Obstructed",2254
"Pop18",0.1635725,12,18,FALSE,48,"Obstructed",2254
"Pop19",0.17804,10,19,FALSE,48,"Obstructed",2254
"Pop20",0.1705125,12,20,FALSE,48,"Obstructed",2254
"Pop21",0.167925,12,21,FALSE,48,"Obstructed",2254
"Pop22",0.1179475,12,22,FALSE,48,"Obstructed",2254
"Pop23",0.1106,10,23,FALSE,48,"Obstructed",2254
"Pop24",0.08435,9,24,FALSE,48,"Obstructed",2254
"Pop25",0.0830225,7,25,TRUE,48,"Obstructed",2254
"Pop01",0.04306,3,1,TRUE,49,"Obstructed",2254
"Pop02",0.0618325,4,2,FALSE,49,"Obstructed",2254
"Pop03",0.1066975,6,3,FALSE,49,"Obstructed",2254
"Pop04",0.1155825,6,4,FALSE,49,"Obstructed",2254
"Pop05",0.097665,6,5,FALSE,49,"Obstructed",2254
"Pop06",0.076085,9,6,FALSE,49,"Obstructed",2254
"Pop07",0.108905,8,7,FALSE,49,"Obstructed",2254
"Pop08",0.11816,9,8,FALSE,49,"Obstructed",2254
"Pop09",0.1563925,10,9,FALSE,49,"Obstructed",2254
"Pop10",0.1442425,10,10,FALSE,49,"Obstructed",2254
"Pop11",0.155425,11,11,FALSE,49,"Obstructed",2254
"Pop12",0.16322,11,12,FALSE,49,"Obstructed",2254
"Pop13",0.138495,12,13,FALSE,49,"Obstructed",2254
"Pop14",0.1693825,12,14,FALSE,49,"Obstructed",2254
"Pop15",0.195,12,15,FALSE,49,"Obstructed",2254
"Pop16",0.237705,13,16,FALSE,49,"Obstructed",2254
"Pop17",0.2113925,13,17,FALSE,49,"Obstructed",2254
"Pop18",0.1608875,13,18,FALSE,49,"Obstructed",2254
"Pop19",0.141845,10,19,FALSE,49,"Obstructed",2254
